#Coverage (X)	Coverage
1.0	96.7076855592016
2.0	94.64753187989557
3.0	92.13919327830669
4.0	89.25564789815459
5.0	86.02260816293922
6.0	82.50508687128182
7.0	78.76472666902724
8.0	74.83342169027577
9.0	70.75662330354211
10.0	66.57293794660569
11.0	62.313614437660156
12.0	58.00985331288062
13.0	53.690495483888355
14.0	49.38826733441054
15.0	45.13211041310529
16.0	40.9593255916061
17.0	36.9024181236924
18.0	32.998996731899624
19.0	29.28500343330124
20.0	25.788879900683426
21.0	22.536153830034166
22.0	19.542997661059502
23.0	16.81999610200343
24.0	14.370718373507813
25.0	12.192901669618337
26.0	10.280799242172222
27.0	8.618848837746754
28.0	7.192092788827821
29.0	5.977173205219557
30.0	4.954706086869436
31.0	4.100648176510177
32.0	3.3935547058961077
33.0	2.813604166912313
34.0	2.3408867182605775
35.0	1.9567032178348
36.0	1.6473256197912605
37.0	1.3980096648348166
38.0	1.1974347894232977
39.0	1.0368905440564475
40.0	0.9080018228846427
41.0	0.8042089748672936
42.0	0.7209171470990583
43.0	0.6533843495566316
44.0	0.598181286112279
45.0	0.5528044195523591
46.0	0.5148612867620699
47.0	0.4831615535483138
48.0	0.4561021550710507
49.0	0.4329757470307811
50.0	0.4130276365052339
51.0	0.39577653068408836
