#Position (bp)	Coverage
1473116.5	18.588791378275708
4419348.5	17.07919098020794
7365580.5	15.921228878106001
1.03118125E7	11.273716394364056
1.32580445E7	13.740230572473587
1.62042765E7	15.482418220968341
1.91505085E7	9.891873416621637
2.20967405E7	12.881268345466346
2.50429725E7	12.872479492450017
2.79892045E7	13.377786270734958
3.09354365E7	12.362621477195278
3.38816685E7	13.878773294160133
3.68279005E7	14.325182130938773
3.97741325E7	14.080250299365426
4.27203645E7	13.585085288599133
4.56665965E7	9.773871168326188
4.86128285E7	13.506138348914817
5.15590605E7	13.73566168584144
5.45052925E7	17.362774893491075
5.74515245E7	18.560328582406274
6.03977565E7	15.2310989087078
6.33439885E7	16.04186465967378
6.62902205E7	15.871259289831894
6.92364525E7	14.663290603048232
7.21826845E7	13.60033697278422
7.51289165E7	24.45769036518509
7.80751485E7	15.494229239245247
8.10213805E7	13.93573588230662
8.39676125E7	14.571836841090587
8.69138445E7	16.806503357508845
8.98600765E7	17.297612340100848
9.28063085E7	14.949886159677853
9.57525405E7	13.863643460528566
9.86987725E7	12.556972091810827
1.016450045E8	14.720146953804045
1.045912365E8	10.939197931459573
1.075374685E8	12.334596528718716
1.104837005E8	9.364189242395032
1.134299325E8	14.930138902842682
1.163761645E8	15.49412469893749
1.193223965E8	16.36031208676031
1.222686285E8	16.26857219662267
1.252148605E8	11.631093206509195
1.281610925E8	12.399685428710299
1.311073245E8	14.788222380314924
1.340535565E8	15.12496436125872
1.369997885E8	12.71670900322853
1.399460205E8	11.711813937259523
1.428922525E8	14.617733090944638
1.458384845E8	14.985191593873123
1.487847165E8	15.961563787237393
1.517309485E8	14.149612454144819
1.546771805E8	10.45306954781565
1.576234125E8	14.379961252202813
1.605696445E8	11.454544652288075
1.635158765E8	8.83868276496895
1.664621085E8	9.409996904520757
1.694083405E8	13.351421408768894
1.723545725E8	10.095247421112798
1.753008045E8	8.822460688771285
1.782470365E8	9.513449382126051
1.811932685E8	13.402479166610098
1.841395005E8	15.820378707447343
1.870857325E8	14.998252683427511
1.900319645E8	13.992673014209336
1.929781965E8	16.08261535412011
1.959244285E8	15.72817856842231
1.988706605E8	13.68445051170444
2.018168925E8	13.210319146625249
2.047631245E8	16.36906394336902
2.077093565E8	18.24967789366214
2.106555885E8	15.633024486870008
2.136018205E8	14.930864236081884
2.154737165E8	16.883987411605396
2.169468325E8	16.81450495934233
2.194942845E8	15.1892491833637
2.224405165E8	16.95673490750219
2.253867485E8	14.720397103826175
2.283329805E8	13.320135345756885
2.312792125E8	14.619390801539051
2.342254445E8	15.079056231824241
2.371716765E8	13.564548888207039
2.401179085E8	13.64055071019526
2.430641405E8	14.715916126089187
2.460103725E8	10.713188235006612
2.489566045E8	13.468666758082867
2.519028365E8	14.629533247890866
2.548490685E8	13.848019775767828
2.577953005E8	13.732456575042292
2.607415325E8	14.437082008477269
2.636877645E8	13.942677630274874
2.666339965E8	14.919136035451384
2.695802285E8	14.145710860516076
2.725264605E8	14.677578344135831
2.754726925E8	11.819585490891416
2.784189245E8	18.20883046548948
2.813651565E8	19.299745233912333
2.843113885E8	16.125236573358784
2.872576205E8	15.710330347372508
2.902038525E8	15.111186423879722
2.931500845E8	12.007351423784685
2.960963165E8	9.594467781220215
2.990425485E8	11.52077772558305
3.019887805E8	12.52206038085256
3.049350125E8	13.065113677402186
3.078812445E8	12.05450249674839
3.108274765E8	13.224813931828859
3.137737085E8	12.914034943616118
3.167199405E8	15.01351115594427
3.196661725E8	9.138297662913171
3.226124045E8	11.311671653827668
3.255586365E8	14.043628607658867
3.285048685E8	14.360072798068856
3.314511005E8	13.957474156821323
3.343973325E8	14.025456922604873
3.373435645E8	11.982102563545572
3.402897965E8	13.897680494950839
3.432360285E8	13.966846806361481
3.461822605E8	12.671144702793264
3.491284925E8	12.731264204584024
3.520747245E8	12.212620051645628
3.550209565E8	15.977814374428084
3.579671885E8	14.480494407772369
3.609134205E8	12.599396110014418
3.638596525E8	11.172444668308538
3.668058845E8	17.00086449403849
3.697521165E8	16.1794546390101
3.726983485E8	13.911667512945348
3.756445805E8	15.251652279929075
3.785908125E8	15.895569323800705
3.804938555E8	18.094539305510004
3.819669715E8	21.817266573938184
3.844832765E8	14.333388205681018
3.874295085E8	17.795620643588148
3.903757405E8	13.77197416904032
3.933219725E8	16.504918485713276
3.962682045E8	16.65507366697531
3.992144365E8	16.305415527358335
4.021606685E8	14.62865008594028
4.051069005E8	14.2916735681372
4.080531325E8	13.671080553058959
4.109993645E8	14.31999245137518
4.139455965E8	15.134839007926056
4.168918285E8	14.822592721822314
4.198380605E8	13.808745204043673
4.227842925E8	12.001420118985877
4.257305245E8	16.051459627076213
4.286767565E8	14.836341808791705
4.316229885E8	13.552736172847217
4.345692205E8	14.19621333282647
4.375154525E8	15.352158621588524
4.404616845E8	14.281861034704667
4.434079165E8	15.34258401918111
4.463541485E8	13.799070473744091
4.493003805E8	13.858676098827248
4.522466125E8	13.417666701060881
4.551928445E8	14.354053923791474
4.581390765E8	13.568591679134569
4.610853085E8	11.833117351247289
4.640315405E8	11.052050551348298
4.669777725E8	15.29001042687745
4.699240045E8	13.614535786726911
4.728702365E8	13.590824823028193
4.758164685E8	9.687703819658465
4.787627005E8	15.300878885301632
4.817089325E8	11.11571899293742
4.846551645E8	12.92154453552877
4.876013965E8	13.411663779362929
4.905476285E8	14.723790590829235
4.934938605E8	12.77228609288067
4.964400925E8	14.716155754197226
4.993863245E8	15.734014836577703
5.023325565E8	15.773951610056507
5.05119797E8	17.584615080230222
5.06592913E8	15.352270404392687
5.082250205E8	14.649243508318422
5.111712525E8	12.543656439818724
5.141174845E8	13.902152647856653
5.170637165E8	11.000604840352016
5.200099485E8	13.765191268033202
5.229561805E8	13.126618338270713
5.259024125E8	16.330329044012828
5.288486445E8	16.11521224397807
5.317948765E8	14.301153473317784
5.347411085E8	13.747303335243117
5.376873405E8	13.209750284431097
5.406335725E8	15.37128983732442
5.435798045E8	10.577349645241787
5.465260365E8	14.284043143920778
5.494722685E8	17.60417713201133
5.524185005E8	11.83900792605606
5.553647325E8	15.392697859503256
5.583109645E8	13.447644313143025
5.612571965E8	14.215595377417664
5.642034285E8	12.984492735127445
5.671496605E8	12.070793135095947
5.700958925E8	9.079419068152134
5.730421245E8	14.463731640956992
5.759883565E8	15.347751297250182
5.789345885E8	12.192438341583419
5.818808205E8	13.230418039041053
5.848270525E8	12.488575237795258
5.875864595E8	14.159477132312984
5.890595755E8	15.881359561086578
5.907195165E8	17.58244666407805
5.936657485E8	17.127730606415245
5.966119805E8	14.868337931296653
5.995582125E8	15.795014784986382
6.025044445E8	16.52993688209211
6.054506765E8	16.13945473404674
6.083969085E8	12.436916033767877
6.113431405E8	14.576071402387864
6.142893725E8	16.957555616801393
6.172356045E8	15.240075119678288
6.201818365E8	13.509915716073955
6.231280685E8	10.27342822968456
6.260743005E8	10.40019998425107
