#Mapping quality	mapping quality
0.0	3510216.0
1.0	3783014.0
2.0	1099862.0
3.0	3024570.0
4.0	1372472.0
5.0	1317972.0
6.0	1299337.0
7.0	1133296.0
8.0	5831030.0
9.0	1104543.0
10.0	1185267.0
11.0	1352437.0
12.0	1380465.0
13.0	2056466.0
14.0	2095968.0
15.0	2021824.0
16.0	2724243.0
17.0	1825187.0
18.0	2426863.0
19.0	2572216.0
20.0	2555377.0
21.0	3838952.0
22.0	3922135.0
23.0	1.2900493E7
24.0	1.5647077E7
25.0	5882089.0
26.0	4243922.0
27.0	5284159.0
28.0	7069615.0
29.0	8966977.0
30.0	1.0632406E7
31.0	8786393.0
32.0	1.7009761E7
33.0	1.6963783E7
34.0	1.49299E7
35.0	1.9398666E7
36.0	2.3310893E7
37.0	2.6937888E7
38.0	3.2882895E7
39.0	4.0232283E7
40.0	9.0404524E7
41.0	2.22463953E8
42.0	4.15231782E8
