#Position (bp)	mapping quality
1473116.5	17.069872969898725
4419348.5	21.445481231851264
7365580.5	22.856865374424864
1.03118125E7	22.08921688392416
1.32580445E7	22.366154573060683
1.62042765E7	22.845477876684562
1.91505085E7	19.84571903887674
2.20967405E7	22.30662460698116
2.50429725E7	21.656813399099143
2.79892045E7	23.99615515006277
3.09354365E7	22.289762150609263
3.38816685E7	22.844311701865315
3.68279005E7	22.83860267313971
3.97741325E7	23.16304131627351
4.27203645E7	22.264748822162858
4.56665965E7	22.012505640928488
4.86128285E7	23.112717450374205
5.15590605E7	23.259614998422784
5.45052925E7	23.140614901721182
5.74515245E7	24.448539151507017
6.03977565E7	23.93936780270229
6.33439885E7	22.871823446423463
6.62902205E7	22.163058457089864
6.92364525E7	23.510377198015988
7.21826845E7	22.918163899656875
7.51289165E7	12.372690836551307
7.80751485E7	21.357319575264288
8.10213805E7	24.14248735875993
8.39676125E7	21.46855957513988
8.69138445E7	23.396353280859334
8.98600765E7	25.358295870112517
9.28063085E7	22.85180002636175
9.57525405E7	22.271560502229676
9.86987725E7	21.68884201386096
1.016450045E8	22.98384674168933
1.045912365E8	21.17467352536134
1.075374685E8	22.683446996779587
1.104837005E8	18.003906011770106
1.134299325E8	22.102053348411967
1.163761645E8	24.30472167636752
1.193223965E8	21.618244691647746
1.222686285E8	23.29719812614789
1.252148605E8	21.5858687566144
1.281610925E8	21.05539254273091
1.311073245E8	22.693393343982404
1.340535565E8	21.92561067294188
1.369997885E8	21.10584827339516
1.399460205E8	19.746992423018273
1.428922525E8	22.559667542315903
1.458384845E8	23.837738684010304
1.487847165E8	22.598422891718748
1.517309485E8	23.01269905234281
1.546771805E8	21.438335144240646
1.576234125E8	22.55864167557744
1.605696445E8	20.249389233599782
1.635158765E8	14.724314107594875
1.664621085E8	16.68768702650181
1.694083405E8	20.802846593801
1.723545725E8	20.92178676817025
1.753008045E8	18.394317688922452
1.782470365E8	18.40886238937847
1.811932685E8	20.70342021764716
1.841395005E8	22.079526608997156
1.870857325E8	22.777980431728
1.900319645E8	22.35607175566567
1.929781965E8	22.053538992671314
1.959244285E8	22.30134308509449
1.988706605E8	21.06816646767946
2.018168925E8	21.546561867316395
2.047631245E8	19.135400210066315
2.077093565E8	18.190228845888296
2.106555885E8	20.021516336727302
2.136018205E8	16.125368239003716
2.154737165E8	14.7359491716615
2.169468325E8	18.69753839799653
2.194942845E8	20.8976859805987
2.224405165E8	23.02085969579897
2.253867485E8	22.835061782873282
2.283329805E8	23.583326714959394
2.312792125E8	23.639783498297696
2.342254445E8	23.35410599192927
2.371716765E8	22.89663646289087
2.401179085E8	23.741896834167022
2.430641405E8	23.582865399887737
2.460103725E8	22.25937814351816
2.489566045E8	24.309485873847922
2.519028365E8	24.408966493777562
2.548490685E8	24.578009354807488
2.577953005E8	23.70529172936752
2.607415325E8	22.751270782972647
2.636877645E8	23.137707171089517
2.666339965E8	22.441565696594548
2.695802285E8	21.659845131166556
2.725264605E8	24.560917742142742
2.754726925E8	21.94057623151875
2.784189245E8	16.234485319222276
2.813651565E8	19.912669999763544
2.843113885E8	23.67961127804685
2.872576205E8	23.74680076960682
2.902038525E8	23.882100397660942
2.931500845E8	21.409130543291454
2.960963165E8	18.893933612578948
2.990425485E8	20.41904007619086
3.019887805E8	21.341308121381072
3.049350125E8	22.288805096948042
3.078812445E8	20.176846140574163
3.108274765E8	22.061914462854173
3.137737085E8	23.22231258025749
3.167199405E8	22.55862852338668
3.196661725E8	19.630451847179117
3.226124045E8	21.801312133189843
3.255586365E8	23.310684580148255
3.285048685E8	22.535957323851083
3.314511005E8	23.55431221593962
3.343973325E8	23.872857387695877
3.373435645E8	21.56089157674249
3.402897965E8	22.728796282640097
3.432360285E8	23.619260387298898
3.461822605E8	24.19969964486737
3.491284925E8	22.239930096630406
3.520747245E8	20.581708169123647
3.550209565E8	23.81448838480216
3.579671885E8	22.885968090604354
3.609134205E8	20.61575004461246
3.638596525E8	20.889233801723453
3.668058845E8	23.014859256717642
3.697521165E8	22.15117408473741
3.726983485E8	19.548198025301357
3.756445805E8	19.845166033795685
3.785908125E8	17.045970104811325
3.804938555E8	13.47550998740714
3.819669715E8	14.482999272524173
3.844832765E8	23.200369678296926
3.874295085E8	20.941954011754195
3.903757405E8	19.16142075161543
3.933219725E8	21.103399999567117
3.962682045E8	21.86909136457354
3.992144365E8	22.494510360041566
4.021606685E8	20.26885683208285
4.051069005E8	25.407389608832965
4.080531325E8	23.90659978665378
4.109993645E8	24.110224907616164
4.139455965E8	23.136689021510186
4.168918285E8	23.725939333123048
4.198380605E8	17.74855899141134
4.227842925E8	22.110140076851103
4.257305245E8	23.29713521501162
4.286767565E8	22.847655054072437
4.316229885E8	22.893449375555512
4.345692205E8	22.016329294527626
4.375154525E8	22.39906178289147
4.404616845E8	22.63718780137928
4.434079165E8	23.392923286744406
4.463541485E8	23.01753066617277
4.493003805E8	22.948288302709035
4.522466125E8	21.6477310530103
4.551928445E8	22.95172869263151
4.581390765E8	22.431472899669654
4.610853085E8	23.07113678970623
4.640315405E8	22.05636414078595
4.669777725E8	22.815926463454158
4.699240045E8	20.745354052007684
4.728702365E8	21.969529173715586
4.758164685E8	19.6159782698329
4.787627005E8	17.423718415884526
4.817089325E8	21.18976818086269
4.846551645E8	22.07648922474417
4.876013965E8	22.349124193879998
4.905476285E8	21.450597482136658
4.934938605E8	21.562322559937908
4.964400925E8	22.336052857845512
4.993863245E8	21.155413923220795
5.023325565E8	19.284607126720413
5.05119797E8	17.512397607256222
5.06592913E8	9.709508470788377
5.082250205E8	11.123534564708203
5.111712525E8	18.73615902652077
5.141174845E8	21.498607331700967
5.170637165E8	20.716379923315422
5.200099485E8	22.09443711447277
5.229561805E8	23.716073490097365
5.259024125E8	18.59291547143313
5.288486445E8	22.957112223844454
5.317948765E8	23.581318030243242
5.347411085E8	22.338356562424188
5.376873405E8	21.990380249594963
5.406335725E8	23.504533536377735
5.435798045E8	20.74089424338709
5.465260365E8	20.31196587033096
5.494722685E8	23.97476938298533
5.524185005E8	22.201230504130944
5.553647325E8	24.645809346482945
5.583109645E8	22.36869662554155
5.612571965E8	22.153111442543732
5.642034285E8	23.531871014387487
5.671496605E8	22.99861987821765
5.700958925E8	19.80072229092645
5.730421245E8	21.47681561394853
5.759883565E8	21.110907436327462
5.789345885E8	20.186637500823544
5.818808205E8	17.765040245920833
5.848270525E8	17.168282268552367
5.875864595E8	14.499413497744461
5.890595755E8	16.403123875242454
5.907195165E8	17.861360662570466
5.936657485E8	21.640270772026064
5.966119805E8	23.35931918291947
5.995582125E8	23.181216928408833
6.025044445E8	22.87904325390886
6.054506765E8	23.519834160008738
6.083969085E8	17.81968281926243
6.113431405E8	22.732991981401184
6.142893725E8	24.12125994621584
6.172356045E8	22.808879909034957
6.201818365E8	23.46520473404733
6.231280685E8	24.010312174032084
6.260743005E8	23.414706194196555
6.290205325E8	23.812017498149906
6.319667645E8	24.615389067882067
6.349129965E8	22.18529642319915
6.378592285E8	22.657173796515114
6.408054605E8	22.91317492669628
6.437516925E8	24.682188596180847
6.466979245E8	23.12274749211311
6.496441565E8	23.97196840333514
6.525903885E8	14.38231414780574
6.555366205E8	20.79335150713162
6.58437679E8	17.286230664384227
6.59910795E8	18.672329872206195
6.614290845E8	19.303118127161085
6.643753165E8	19.6718200212073
6.673215485E8	20.330148408432212
6.702677805E8	22.357436553483787
6.732140125E8	23.353472333230236
6.761602445E8	23.135023824026288
6.791064765E8	20.500833303963542
6.820527085E8	23.10107269107063
6.849989405E8	21.27963089199655
6.879451725E8	19.311930666071905
6.908914045E8	13.091045213068139
6.938376365E8	19.7021346581283
6.967838685E8	22.613302070111303
6.997301005E8	23.326348377593874
7.026763325E8	21.025062811008844
7.056225645E8	22.250250234837758
7.085687965E8	21.868924157816604
7.112236495E8	21.18963819183907
7.126967655E8	17.70402020837508
7.144612605E8	19.925003031766952
7.174074925E8	20.425472181517517
7.203537245E8	23.64056091338367
7.232999565E8	23.092839223463834
7.262461885E8	24.797643511881645
7.291924205E8	22.943352081209635
7.321386525E8	20.24003071372411
7.350848845E8	18.96115818884681
7.380311165E8	7.58206468462592
7.409773485E8	24.206926330749678
7.439235805E8	24.996876404538973
7.468698125E8	24.79429246837368
7.498160445E8	24.35423539548039
7.527622765E8	24.528467547988626
7.557085085E8	22.07691500778526
7.586547405E8	21.539474202747893
7.601416665E8	1.6319727515164915
7.616147825E8	20.260245765839777
7.645472045E8	22.303189457158737
7.674934365E8	22.872849170466825
7.704396685E8	23.545180624577508
7.733859005E8	23.439670084028865
7.763321325E8	20.66613541040872
7.792783645E8	15.966316167545603
7.822245965E8	19.249379220908512
7.851708285E8	23.38366506759579
7.881170605E8	23.605467949685575
7.910632925E8	24.764677508465653
7.940095245E8	24.073108901844556
7.969557565E8	24.115803361547474
7.999019885E8	25.301336284582316
8.026961355E8	19.364891918661783
8.041692515E8	17.751671070864255
8.057944525E8	17.9333731248575
8.087406845E8	22.169108332320185
8.116869165E8	22.696581639232065
8.146331485E8	23.12780905032539
8.175793805E8	25.14192585701457
8.205256125E8	23.30640219713027
8.234718445E8	23.684692222835555
8.264180765E8	20.51268200243935
8.293643085E8	20.838785049669998
8.323105405E8	22.973218588237696
8.352567725E8	24.848146464696427
8.382030045E8	23.702261897766974
8.411492365E8	21.615894733453118
8.440954685E8	19.17356389615026
8.466781495E8	18.8948477280029
8.481512655E8	16.321197420505133
8.499879325E8	17.331106288850503
8.529341645E8	18.081884653847577
8.558803965E8	22.189887455695285
8.588266285E8	21.880287023932173
8.617728605E8	22.785148669169637
8.647190925E8	24.911337231198242
8.676653245E8	25.03055300873282
8.706115565E8	22.801672375360102
8.735577885E8	23.306766086769496
8.765040205E8	23.26075433344706
8.794502525E8	23.991673159555347
8.823964845E8	22.13920305333183
8.853427165E8	19.70356951276233
8.88046739E8	17.66199716752287
8.89519855E8	16.21116911480518
8.912351805E8	19.163739416853666
8.941814125E8	22.554497907016447
8.971276445E8	23.660054596094728
9.000738765E8	24.730893603385205
9.030201085E8	22.775135454369714
9.059663405E8	22.095981925755137
9.089125725E8	20.093978253001488
9.118588045E8	21.71560680009513
9.148050365E8	14.222944314979227
9.177512685E8	20.993803374768508
9.206975005E8	22.619180301697
9.236437325E8	22.04157144320603
9.265899645E8	20.28801243928623
9.281577005E8	20.22277457044786
9.296308165E8	13.800916569126775
9.324824285E8	18.3655218523065
9.354286605E8	20.890006573357297
9.383748925E8	21.53031518728327
9.413211245E8	22.567931907265173
9.442673565E8	23.946844022064102
9.472135885E8	25.492327180724224
9.501598205E8	24.785751408683502
9.531060525E8	24.450756719993528
9.560522845E8	24.49390853983683
9.589985165E8	24.154603955252664
9.619447485E8	18.392366902586726
9.63608251E8	13.91381940334752
9.65081367E8	20.358070657338533
9.678372125E8	20.432726106894997
9.707834445E8	23.389081364942715
9.737296765E8	22.577526906295645
9.766759085E8	21.016926196686327
9.796221405E8	16.520302449948534
9.825683725E8	17.595635849355542
9.855146045E8	23.6082353848598
9.884608365E8	23.581776041889082
9.914070685E8	24.499117162299658
9.943533005E8	20.976127086496465
9.96973979E8	19.88835467572319
9.98447095E8	7.769109022860805
1.0002457645E9	20.519968287980813
1.0031919965E9	22.28676575234639
1.0061382285E9	23.918388293684714
1.0090844605E9	21.61995329560462
1.0109513325E9	19.626459787306686
1.0124244485E9	20.320984514759996
1.0149769245E9	23.459768510327788
1.0179231565E9	24.093446839169676
1.0208693885E9	20.41833887763703
1.023418539E9	19.805504719031727
1.024891655E9	19.240213537870254
1.0267618525E9	20.74749653835957
1.0297080845E9	23.3678337849887
1.0326543165E9	19.9576461538067
1.034194805E9	2.0923325650133235
1.035667921E9	20.92339032661985
1.0385467805E9	20.125866338480538
1.0414841345E9	14.211503163581748
1.0429572505E9	1.5675187874775356
1.0444392445E9	17.362208242612432
1.0473854765E9	23.109786180667555
1.0500931455E9	20.070764271278392
1.0515662615E9	13.98599442935255
1.0532779405E9	13.976522367225892
1.0562241725E9	19.434447048294807
1.0585794415E9	20.631232018354762
1.0600525575E9	19.178873582795294
1.0621166365E9	19.83236697600813
1.0650628685E9	20.655622104654665
1.0668876105E9	22.005686939334858
1.0683607265E9	13.947447288069553
1.0709553325E9	16.96292088537496
1.0733928775E9	21.483836327411453
1.0748659935E9	9.205975568787975
1.0768477965E9	19.16746476836332
1.0794745915E9	19.81248359000334
1.0809477075E9	14.950359373912091
1.082564658E9	17.37876597258182
1.084037774E9	4.919404544488477
1.085319423E9	19.44608939314274
1.086792539E9	10.957849261172354
1.087255665E9	14.413804885617447
1.088728781E9	16.274053386224338
1.0915789565E9	17.91840356527105
1.0945251885E9	15.570736315055008
1.0974714205E9	18.64906797318734
1.1004176525E9	18.672235646148444
1.1033638845E9	19.106627735845695
1.1063101165E9	19.596229783458018
1.1092563485E9	17.143267290112075
1.1122025805E9	19.281102204694065
1.1151488125E9	19.228718282091986
1.1180950445E9	18.715539244433213
1.1210412765E9	17.725361851877413
1.1239875085E9	20.49861548374501
1.1269337405E9	18.68643830816718
1.1298799725E9	18.50512193458611
1.1328262045E9	18.703795632693485
1.1357724365E9	15.452562453268616
1.1387186685E9	18.497468992295055
1.1416649005E9	18.594395289365032
1.1446111325E9	16.261503983831144
1.1475573645E9	17.530474555418703
1.1505035965E9	19.463629318749973
1.1534498285E9	18.72716932296629
1.1563960605E9	17.824182228070363
1.1593422925E9	17.98332687494289
1.1622885245E9	15.976965407364778
1.1652347565E9	18.16053979532736
1.1681809885E9	18.553349581807492
1.1707663265E9	15.660080704265427
1.1718881035E9	5.9421463079595505
1.171912573E9	18.410251353466208
1.1719423915E9	15.482016509433961
1.1719716865E9	2.6873913843634245
1.1719998695E9	3.0722727272727273
1.1720271865E9	1.0455733025961909
1.172053963E9	15.241084312512884
1.172080324E9	12.19933441834479
1.172105473E9	2.6286575968631944
1.1721293445E9	15.928789773981444
1.1721530725E9	15.779381850498668
1.1721767445E9	8.841910872968622
1.1722002915E9	10.507159589270303
1.1722236575E9	10.27558773866736
1.172246207E9	1.3452882982907728
1.1722677735E9	8.846114708603146
1.1722889615E9	4.883405954974583
1.1723099925E9	0.8563822498874469
1.1723290745E9	2.6510259046293725
1.172344497E9	6.414897169459231
1.1724758145E9	8.566711337817651
1.172785965E9	18.237446732158077
1.173312376E9	4.049280125382135
1.173847659E9	17.181098353025334
1.1742281915E9	1.351319144391137
1.1745383545E9	10.151087304546287
1.1747839385E9	2.4730549646991054
1.175021832E9	3.154381623667518
1.1752406195E9	7.017593208413002
1.1754447675E9	14.186070571753786
1.1756302895E9	4.2956978838013224
1.1758017095E9	3.124885967457943
1.1759743985E9	11.919307798658927
1.1761449175E9	2.59560003152121
1.1763080145E9	13.179092927618443
1.176454614E9	13.127221045051034
1.1765908095E9	2.9814401721350334
1.1767148905E9	12.037331469839996
1.176828827E9	14.411558158147573
1.1769415455E9	17.721447855488293
1.1770466005E9	17.673716965923685
1.1771437885E9	0.9439064650447987
1.177227665E9	11.272413759391513
1.1772982075E9	9.440230407633775
1.1773658055E9	1.9098723668444975
1.1774300485E9	2.680946308015549
1.1774925145E9	15.834451161260713
1.17755326E9	5.855086638985831
1.1776102095E9	1.2469606965792732
1.177664105E9	11.879343134785893
1.177715901E9	13.521702966792652
1.1777667665E9	1.5631866097217766
1.177815724E9	1.3357276438896832
1.1778623185E9	11.940393175352604
1.177908416E9	1.4676533457293792
1.1779522895E9	0.855669358002767
1.1779928755E9	10.024422854086817
1.178031512E9	1.9935326781929337
1.178069269E9	3.245606128886886
1.1781066915E9	0.0
1.178143855E9	1.840088372206883
1.178180591E9	1.2941269233368626
1.178216752E9	15.875755377466312
1.178252379E9	11.241246986393934
1.178286871E9	1.0418297693377763
1.1783202805E9	8.887180929402971
1.1783530415E9	17.94821161134275
1.1783849895E9	9.173063366491737
1.1784162885E9	4.776722716312334
1.178447326E9	0.9901012373453318
1.1784776715E9	1.6334143348225354
