#Coverage	Number of genomic locations
0.0	4.9816605E7
1.0	3.7330391E7
2.0	5.0472464E7
3.0	6.2912108E7
4.0	7.4261482E7
5.0	8.2608938E7
6.0	8.743673E7
7.0	8.8531173E7
8.0	8.6535743E7
9.0	8.1897955E7
10.0	7.5395584E7
11.0	6.772642E7
12.0	5.9616174E7
13.0	5.1426292E7
14.0	4.3592859E7
15.0	3.631935E7
16.0	2.98258E7
17.0	2.4157617E7
18.0	1.9348952E7
19.0	1.5296428E7
20.0	1.1967942E7
21.0	9272986.0
22.0	7112070.0
23.0	5433806.0
24.0	4125727.0
25.0	3100710.0
26.0	2329280.0
27.0	1753302.0
28.0	1322851.0
29.0	998478.0
30.0	765080.0
31.0	588556.0
32.0	455839.0
33.0	363678.0
34.0	289791.0
35.0	238329.0
36.0	197154.0
37.0	165952.0
38.0	144316.0
39.0	127346.0
40.0	113591.0
41.0	104000.0
42.0	93998.0
43.0	88063.0
44.0	80860.0
45.0	75559.0
46.0	70848.0
47.0	65797.0
48.0	62220.0
49.0	59748.0
50.0	56021.0
51.0	53560.0
52.0	50955.0
53.0	48176.0
54.0	45900.0
55.0	44361.0
56.0	42816.0
57.0	40964.0
58.0	39572.0
59.0	37399.0
60.0	36654.0
61.0	34682.0
62.0	33948.0
63.0	32111.0
64.0	31322.0
65.0	30165.0
66.0	28967.0
67.0	28214.0
68.0	27465.0
69.0	26734.0
70.0	25664.0
71.0	24924.0
72.0	24361.0
73.0	24165.0
74.0	23244.0
75.0	22806.0
76.0	22347.0
77.0	21596.0
78.0	21102.0
79.0	20046.0
80.0	20144.0
81.0	19609.0
82.0	18757.0
83.0	18429.0
84.0	18153.0
85.0	18030.0
86.0	17342.0
87.0	17012.0
88.0	16681.0
89.0	16306.0
90.0	15953.0
91.0	15982.0
92.0	15400.0
93.0	15036.0
94.0	14736.0
95.0	14138.0
96.0	13784.0
97.0	13219.0
98.0	12975.0
99.0	12818.0
100.0	12266.0
101.0	12304.0
102.0	11646.0
103.0	11381.0
104.0	11458.0
105.0	11302.0
106.0	11160.0
107.0	11315.0
108.0	10813.0
109.0	10706.0
110.0	10211.0
111.0	10143.0
112.0	9957.0
113.0	9993.0
114.0	9767.0
115.0	9336.0
116.0	9188.0
117.0	9110.0
118.0	8985.0
119.0	8766.0
120.0	8480.0
121.0	8368.0
122.0	8212.0
123.0	8392.0
124.0	8188.0
125.0	7945.0
126.0	7634.0
127.0	7630.0
128.0	7427.0
129.0	7570.0
130.0	7326.0
131.0	7248.0
132.0	7022.0
133.0	7023.0
134.0	7022.0
135.0	6844.0
136.0	6948.0
137.0	6456.0
138.0	6621.0
139.0	6613.0
140.0	6457.0
141.0	6311.0
142.0	6148.0
143.0	6225.0
144.0	5762.0
145.0	5935.0
146.0	5806.0
147.0	5713.0
148.0	5968.0
149.0	5816.0
150.0	5727.0
151.0	5624.0
152.0	5591.0
153.0	5263.0
154.0	5445.0
155.0	5519.0
156.0	5172.0
157.0	5191.0
158.0	5053.0
159.0	4983.0
160.0	4886.0
161.0	4762.0
162.0	4668.0
163.0	4732.0
164.0	4664.0
165.0	4648.0
166.0	4523.0
167.0	4492.0
168.0	4263.0
169.0	4256.0
170.0	4302.0
171.0	4278.0
172.0	4295.0
173.0	4243.0
174.0	4133.0
175.0	4029.0
176.0	3877.0
177.0	3857.0
178.0	3791.0
179.0	3718.0
180.0	3709.0
181.0	3792.0
182.0	3614.0
183.0	3654.0
184.0	3537.0
185.0	3528.0
186.0	3486.0
187.0	3408.0
188.0	3372.0
189.0	3463.0
190.0	3203.0
191.0	3233.0
192.0	3324.0
193.0	3051.0
194.0	3101.0
195.0	3065.0
196.0	3100.0
197.0	3006.0
198.0	2834.0
199.0	2837.0
200.0	2857.0
201.0	2783.0
202.0	2613.0
203.0	2661.0
204.0	2534.0
205.0	2483.0
206.0	2585.0
207.0	2466.0
208.0	2581.0
209.0	2456.0
210.0	2455.0
211.0	2480.0
212.0	2345.0
213.0	2462.0
214.0	2420.0
215.0	2467.0
216.0	2363.0
217.0	2325.0
218.0	2226.0
219.0	2198.0
220.0	2237.0
221.0	2271.0
222.0	2144.0
223.0	2132.0
224.0	2095.0
225.0	2135.0
226.0	2077.0
227.0	2154.0
228.0	2107.0
229.0	1978.0
230.0	2049.0
231.0	2069.0
232.0	1964.0
233.0	1941.0
234.0	1970.0
235.0	1857.0
236.0	1942.0
237.0	1906.0
238.0	1849.0
239.0	1839.0
240.0	1772.0
241.0	1896.0
242.0	1786.0
243.0	1786.0
244.0	1802.0
245.0	1845.0
246.0	1808.0
247.0	1766.0
248.0	1840.0
249.0	1893.0
250.0	1723.0
251.0	1772.0
252.0	1779.0
253.0	1704.0
254.0	1711.0
255.0	1663.0
256.0	1717.0
257.0	1686.0
258.0	1682.0
259.0	1697.0
260.0	1668.0
261.0	1672.0
262.0	1667.0
263.0	1667.0
264.0	1669.0
265.0	1620.0
266.0	1599.0
267.0	1582.0
268.0	1519.0
269.0	1535.0
270.0	1522.0
271.0	1498.0
272.0	1501.0
273.0	1524.0
274.0	1521.0
275.0	1540.0
276.0	1429.0
277.0	1457.0
278.0	1537.0
279.0	1442.0
280.0	1440.0
281.0	1464.0
282.0	1373.0
283.0	1399.0
284.0	1450.0
285.0	1412.0
286.0	1386.0
287.0	1387.0
288.0	1345.0
289.0	1351.0
290.0	1400.0
291.0	1269.0
292.0	1374.0
293.0	1312.0
294.0	1294.0
295.0	1299.0
296.0	1333.0
297.0	1242.0
298.0	1309.0
299.0	1264.0
300.0	1271.0
301.0	1255.0
302.0	1256.0
303.0	1259.0
304.0	1263.0
305.0	1307.0
306.0	1242.0
307.0	1247.0
308.0	1222.0
309.0	1179.0
310.0	1236.0
311.0	1233.0
312.0	1215.0
313.0	1253.0
314.0	1245.0
315.0	1161.0
316.0	1168.0
317.0	1156.0
318.0	1132.0
319.0	1211.0
320.0	1196.0
321.0	1118.0
322.0	1103.0
323.0	1095.0
324.0	1128.0
325.0	1087.0
326.0	1059.0
327.0	1100.0
328.0	1051.0
329.0	1116.0
330.0	1107.0
331.0	1100.0
332.0	1169.0
333.0	1093.0
334.0	1117.0
335.0	1136.0
336.0	1103.0
337.0	1079.0
338.0	1078.0
339.0	1010.0
340.0	1011.0
341.0	1050.0
342.0	977.0
343.0	1051.0
344.0	979.0
345.0	1001.0
346.0	1021.0
347.0	995.0
348.0	954.0
349.0	998.0
350.0	905.0
351.0	909.0
352.0	990.0
353.0	904.0
354.0	886.0
355.0	971.0
356.0	911.0
357.0	937.0
358.0	962.0
359.0	894.0
360.0	901.0
361.0	867.0
362.0	882.0
363.0	832.0
364.0	871.0
365.0	851.0
366.0	805.0
367.0	882.0
368.0	818.0
369.0	836.0
370.0	858.0
371.0	842.0
372.0	818.0
373.0	829.0
374.0	774.0
375.0	770.0
376.0	790.0
377.0	822.0
378.0	748.0
379.0	812.0
380.0	745.0
381.0	737.0
382.0	799.0
383.0	777.0
384.0	760.0
385.0	793.0
386.0	718.0
387.0	725.0
388.0	728.0
389.0	691.0
390.0	734.0
391.0	695.0
392.0	691.0
393.0	758.0
394.0	737.0
