#Duplication rate	Coverage
1.0	5.588269E7
2.0	7940915.0
3.0	889048.0
4.0	354714.0
5.0	69439.0
6.0	44830.0
7.0	18511.0
8.0	13129.0
9.0	8478.0
10.0	6504.0
11.0	4927.0
12.0	4044.0
13.0	3214.0
14.0	2606.0
15.0	2008.0
16.0	1787.0
17.0	1519.0
18.0	1345.0
19.0	1064.0
20.0	919.0
21.0	762.0
22.0	706.0
23.0	573.0
24.0	509.0
25.0	457.0
26.0	381.0
27.0	365.0
28.0	302.0
29.0	316.0
30.0	263.0
31.0	258.0
32.0	231.0
33.0	174.0
34.0	215.0
35.0	171.0
36.0	171.0
37.0	145.0
38.0	133.0
39.0	122.0
40.0	118.0
41.0	121.0
42.0	107.0
43.0	102.0
44.0	91.0
45.0	89.0
46.0	86.0
47.0	78.0
48.0	79.0
49.0	70.0
50.0	3619.0
