#Mapping quality	mapping quality
0.0	1.0493091E7
1.0	1.0809535E7
2.0	1.0467865E7
3.0	1.0594078E7
4.0	9181646.0
5.0	9020253.0
6.0	9547315.0
7.0	9321746.0
8.0	1.392547E7
9.0	1.2033419E7
10.0	1.339846E7
11.0	1.5149933E7
12.0	1.5337253E7
13.0	1.9365463E7
14.0	1.9608118E7
15.0	2.2486397E7
16.0	2.3851379E7
17.0	2.5761828E7
18.0	2.9790692E7
19.0	3.155694E7
20.0	3.4673235E7
21.0	3.7718539E7
22.0	3.5828852E7
23.0	7.0349418E7
24.0	3.6627727E7
25.0	4.5234438E7
26.0	4.4093881E7
27.0	4.3228185E7
28.0	4.1731557E7
29.0	4.1258358E7
30.0	3.99972E7
31.0	3.7435657E7
32.0	3.8765487E7
33.0	3.5205645E7
34.0	3.4847681E7
35.0	3.1843272E7
36.0	3.1643678E7
37.0	2.8467634E7
38.0	2.8016761E7
39.0	2.3908044E7
40.0	2.6962515E7
41.0	3.1111146E7
42.0	8112417.0
