#Position (bp)	Coverage
1473116.5	12.489304983450047
4419348.5	12.914269141058817
7365580.5	13.115019455358572
1.03118125E7	13.297613697767183
1.32580445E7	13.434114489286655
1.62042765E7	13.526229095332615
1.91505085E7	12.766722376241924
2.20967405E7	13.259625514894957
2.50429725E7	13.247753741049584
2.79892045E7	13.361289606521144
3.09354365E7	13.21150167400259
3.38816685E7	13.068728803434352
3.68279005E7	13.26502325682431
3.97741325E7	13.218574436772121
4.27203645E7	13.34438292707431
4.56665965E7	12.855225929254722
4.86128285E7	13.32843679655913
5.15590605E7	13.111326942345341
5.45052925E7	13.589669448977542
5.74515245E7	13.71321233358405
6.03977565E7	13.320873237409682
6.33439885E7	13.270621593954584
6.62902205E7	13.42595729053245
6.92364525E7	12.80413524800491
7.21826845E7	12.786603363211043
7.51289165E7	24.257858172744033
7.80751485E7	12.72700656295906
8.10213805E7	13.08836133746426
8.39676125E7	12.98434339183065
8.69138445E7	13.330077875740946
8.98600765E7	13.644752687500509
9.28063085E7	13.46560250516592
9.57525405E7	13.220446658647385
9.86987725E7	12.824788068285185
1.016450045E8	13.340260033833045
1.045912365E8	12.897433060261378
1.075374685E8	13.303966897379432
1.104837005E8	12.320239886064641
1.134299325E8	13.305306574634992
1.163761645E8	13.383020074454421
1.193223965E8	13.541374881543613
1.222686285E8	13.423662495010577
1.252148605E8	12.996932692333802
1.281610925E8	12.948726373211613
1.311073245E8	13.401314967728272
1.340535565E8	12.912632134876004
1.369997885E8	13.058787631116626
1.399460205E8	13.014854906198833
1.428922525E8	13.127361321172263
1.458384845E8	13.116679541869072
1.487847165E8	13.328840023460474
1.517309485E8	13.064961618772724
1.546771805E8	12.741574662144732
1.576234125E8	13.218379272236538
1.605696445E8	12.755736479679808
1.635158765E8	11.670096584383035
1.664621085E8	12.218617542678242
1.694083405E8	12.524131161429242
1.723545725E8	12.883468443761387
1.753008045E8	12.311186966946256
1.782470365E8	12.416831057432
1.811932685E8	12.946855509002685
1.841395005E8	13.01313168820378
1.870857325E8	12.997750007467165
1.900319645E8	13.44374916842937
1.929781965E8	13.32635583348494
1.959244285E8	13.21010192001173
1.988706605E8	13.102688111458976
2.018168925E8	13.202924616934444
2.047631245E8	12.698852975597305
2.077093565E8	12.307857969094083
2.106555885E8	12.5424549051127
2.136018205E8	12.148857252246259
2.154737165E8	12.204229148904158
2.169468325E8	11.762779521490483
2.194942845E8	12.776485015436666
2.224405165E8	13.401951373822564
2.253867485E8	13.196762508858773
2.283329805E8	13.463723494958986
2.312792125E8	13.710697935532572
2.342254445E8	13.572408418617407
2.371716765E8	13.55524446140019
2.401179085E8	13.508382231949147
2.430641405E8	13.361343573757939
2.460103725E8	13.030026488070186
2.489566045E8	13.277521933099633
2.519028365E8	12.378586275622558
2.548490685E8	13.318072032345043
2.577953005E8	12.985453284059096
2.607415325E8	13.26206931429704
2.636877645E8	13.139592876596277
2.666339965E8	12.949833210690807
2.695802285E8	12.728175853089642
2.725264605E8	12.718039855652915
2.754726925E8	12.54813436280646
2.784189245E8	16.02479879384923
2.813651565E8	14.936352602239063
2.843113885E8	13.12768987642521
2.872576205E8	13.028788975206297
2.902038525E8	13.052248770633135
2.931500845E8	12.67354200212339
2.960963165E8	12.726060948357087
2.990425485E8	12.581089337160142
3.019887805E8	12.88058306338401
