#Mapping quality	mapping quality
0.0	1018981.0
1.0	3403632.0
2.0	677415.0
3.0	826096.0
4.0	810660.0
5.0	694172.0
6.0	759807.0
7.0	557506.0
8.0	826107.0
9.0	584142.0
10.0	617714.0
11.0	695477.0
12.0	709899.0
13.0	820669.0
14.0	837876.0
15.0	961855.0
16.0	1012949.0
17.0	1055023.0
18.0	1236740.0
19.0	1287382.0
20.0	1437533.0
21.0	1674513.0
22.0	1781001.0
23.0	3225222.0
24.0	2940076.0
25.0	2921435.0
26.0	3416718.0
27.0	3934121.0
28.0	4616496.0
29.0	5343055.0
30.0	6308581.0
31.0	7236655.0
32.0	9343718.0
33.0	1.075749E7
34.0	1.3582892E7
35.0	1.6522813E7
36.0	2.177076E7
37.0	2.7501926E7
38.0	3.9720833E7
39.0	5.8623481E7
40.0	1.08974644E8
41.0	3.50592687E8
42.0	4.25272989E8
