#Duplication rate	Coverage
1.0	6.7720449E7
2.0	1.559371E7
3.0	4050474.0
4.0	1142322.0
5.0	346215.0
6.0	115248.0
7.0	42245.0
8.0	18491.0
9.0	9577.0
10.0	6057.0
11.0	4333.0
12.0	3238.0
13.0	2628.0
14.0	2226.0
15.0	1970.0
16.0	1589.0
17.0	1453.0
18.0	1218.0
19.0	1010.0
20.0	910.0
21.0	832.0
22.0	729.0
23.0	626.0
24.0	549.0
25.0	524.0
26.0	475.0
27.0	435.0
28.0	386.0
29.0	351.0
30.0	315.0
31.0	305.0
32.0	233.0
33.0	226.0
34.0	217.0
35.0	208.0
36.0	186.0
37.0	183.0
38.0	182.0
39.0	143.0
40.0	161.0
41.0	138.0
42.0	142.0
43.0	99.0
44.0	94.0
45.0	93.0
46.0	83.0
47.0	89.0
48.0	67.0
49.0	67.0
50.0	3516.0
