#Duplication rate	Coverage
1.0	6.625437E7
2.0	1.4863002E7
3.0	2848871.0
4.0	534994.0
5.0	116685.0
6.0	37884.0
7.0	19059.0
8.0	12745.0
9.0	8920.0
10.0	6906.0
11.0	5292.0
12.0	4151.0
13.0	3516.0
14.0	2939.0
15.0	2398.0
16.0	2097.0
17.0	1765.0
18.0	1544.0
19.0	1328.0
20.0	1186.0
21.0	997.0
22.0	934.0
23.0	842.0
24.0	691.0
25.0	706.0
26.0	660.0
27.0	600.0
28.0	528.0
29.0	475.0
30.0	453.0
31.0	422.0
32.0	395.0
33.0	400.0
34.0	356.0
35.0	294.0
36.0	307.0
37.0	246.0
38.0	268.0
39.0	210.0
40.0	217.0
41.0	244.0
42.0	210.0
43.0	207.0
44.0	157.0
45.0	171.0
46.0	162.0
47.0	119.0
48.0	138.0
49.0	122.0
50.0	2679.0
