#Mapping quality	mapping quality
0.0	3.1836883E7
1.0	2.1378032E7
2.0	2.0019534E7
3.0	3.1754333E7
4.0	1.8216731E7
5.0	1.8034423E7
6.0	1.6362191E7
7.0	1.5421431E7
8.0	4.1693317E7
9.0	1.7030921E7
10.0	1.7588513E7
11.0	2.0115297E7
12.0	1.7238579E7
13.0	2.6768681E7
14.0	1.8615364E7
15.0	2.5669407E7
16.0	2.407098E7
17.0	2.0753159E7
18.0	2.6877267E7
19.0	2.294617E7
20.0	2.4120352E7
21.0	2.3433451E7
22.0	2.0537963E7
23.0	8.9933748E7
24.0	5.6505293E7
25.0	2.1401501E7
26.0	2.2312216E7
27.0	2.2411707E7
28.0	2.0825315E7
29.0	2.3045632E7
30.0	1.9144493E7
31.0	1.9373969E7
32.0	2.3961357E7
33.0	1.737393E7
34.0	1.8949481E7
35.0	1.568536E7
36.0	1.6950596E7
37.0	1.4753451E7
38.0	1.3842957E7
39.0	1.1188972E7
40.0	4.0285128E7
41.0	2.2607541E7
42.0	2.0157794E7
