#Coverage (X)	Coverage
1.0	87.50105414326211
2.0	78.29959340057545
3.0	70.1912328903206
4.0	63.776188022596
5.0	58.466224795063795
6.0	53.95148830501577
7.0	49.994044171180555
8.0	46.45075962837977
9.0	43.22281326427508
10.0	40.25298952924751
11.0	37.507600472199165
12.0	34.950722065139075
13.0	32.558973507247444
14.0	30.31464480139175
15.0	28.20546060499214
16.0	26.219361699020936
17.0	24.347923931922523
18.0	22.582485984756786
19.0	20.916717991555487
20.0	19.348246496536262
21.0	17.869953932539374
22.0	16.47639673532504
23.0	15.165969379282515
24.0	13.936325477107303
25.0	12.784044727212915
26.0	11.705731859990834
27.0	10.698323046191675
28.0	9.761738353194275
29.0	8.891751873992305
30.0	8.08623470250005
31.0	7.341797593754535
32.0	6.65607914126447
33.0	6.026712507872176
34.0	5.450227243181061
35.0	4.923198887750658
36.0	4.443899131996915
37.0	4.008760282652901
38.0	3.615220168278583
39.0	3.2599234855760386
40.0	2.9390926120800316
41.0	2.650065757563624
42.0	2.390695348025332
43.0	2.1585404686234995
44.0	1.9504410654883628
45.0	1.7644026415277665
46.0	1.5987072393654955
47.0	1.4505673997598194
48.0	1.3181996579209994
49.0	1.1999229680335475
50.0	1.0939681208070482
51.0	0.9995265409259986
