#Position (bp)	mapping quality
1465207.0	38.308676556382416
4395620.0	39.422060525897955
7326033.0	40.34444902071195
1.0256446E7	39.83480623238005
1.3186859E7	40.074294141592866
1.6117272E7	40.26118377882897
1.9047685E7	39.51618933804857
2.1978098E7	40.30396554883775
2.4908511E7	40.3401663230558
2.7838924E7	40.639684557441925
3.0769337E7	40.06230277723741
3.369975E7	40.2642173552623
3.6630163E7	40.52508404223379
3.9560576E7	40.20524154598851
4.2490989E7	40.34493199610166
4.5421402E7	40.2150485892843
4.8351815E7	40.13008586721655
5.1282228E7	40.36405169705678
5.4212641E7	38.909596557954316
5.7143054E7	40.4856741120327
6.0073467E7	40.66433226606059
6.300388E7	40.44526057913209
6.5934293E7	40.09253162058282
6.8864706E7	40.4472388608004
7.1795119E7	40.535783315154625
7.4725532E7	38.567688724744244
7.7655945E7	40.06302768944797
8.0586358E7	40.34245208134438
8.3516771E7	40.17179995994376
8.6447184E7	39.91621295588108
8.9377597E7	40.53933515272791
9.230801E7	40.31568031998997
9.5238423E7	40.53657200250547
9.8168836E7	37.154464066173766
1.01099249E8	40.35634382013593
1.04029662E8	40.32530014506825
1.06960075E8	40.34863661584874
1.09890488E8	39.26053563784259
1.12820901E8	40.36464315435882
1.15751314E8	40.489422363496224
1.18681727E8	40.16529095358861
1.2161214E8	40.17075275907058
1.24542553E8	40.167950486559704
1.27472966E8	39.98273589130328
1.30403379E8	40.28211519890248
1.33333792E8	40.08307151640408
1.36264205E8	40.02778722888215
1.39194618E8	38.76413175530386
1.42125031E8	40.27152483074706
1.45055444E8	40.37603602976961
1.47985857E8	40.240229823490566
1.5091627E8	40.14989518743013
1.53846683E8	40.24681207320319
1.56777096E8	39.85809369399348
1.59707509E8	39.94930906975794
1.62637922E8	38.0249315438679
1.65568335E8	39.20600200062014
1.68498748E8	40.06865876202069
1.71429161E8	39.44137433530883
1.74359574E8	39.02291466002847
1.77289987E8	39.32553384364904
1.802204E8	39.50767933409055
1.83150813E8	39.29104687946584
1.86081226E8	39.85331806052652
1.89011639E8	39.90426413209781
1.91942052E8	39.98503344325229
1.94872465E8	39.54302248466638
1.97802878E8	39.89788149902675
2.00733291E8	39.59950342780458
2.03663704E8	38.41884213252891
2.06594117E8	37.552166466901085
2.0952453E8	38.314887478518976
2.12454943E8	37.99470553761019
2.141011355E8	37.76636834960029
2.15566342E8	38.780791938527585
2.18315769E8	40.07157302529307
2.21246182E8	40.26232842786653
2.24176595E8	40.59802174509034
2.27107008E8	40.640562264147626
2.30037421E8	40.55791200117401
2.32967834E8	40.47909624354722
2.35898247E8	40.37905485737014
2.3882866E8	40.26680886723784
2.41759073E8	40.30683246484663
2.44689486E8	40.59245676913793
2.47619899E8	40.18728736451155
2.50550312E8	40.49931243434875
2.53480725E8	40.43171551398224
2.56411138E8	40.469379540987376
2.59341551E8	39.96183565150883
2.62271964E8	39.8398579346567
2.65202377E8	40.37555105954961
2.6813279E8	39.85060729727958
2.71063203E8	40.424188617145816
2.73993616E8	36.01074151601506
2.76924029E8	37.37729749161693
2.79854442E8	40.10187564220853
2.82784855E8	40.44396876873764
2.85715268E8	40.12976211949699
2.88645681E8	40.441657725145106
2.91576094E8	39.75131841753515
2.94506507E8	38.60194898943505
2.9743692E8	39.997448054174455
3.00367333E8	40.30945927919795
3.03297746E8	36.27726603645405
3.06228159E8	39.850065059186925
3.09158572E8	40.29901962028334
3.12088985E8	40.13979779645933
3.15019398E8	40.060370290072186
3.17949811E8	39.67612710551197
3.20880224E8	40.17593913172443
3.23810637E8	40.1484624315098
