#Coverage	Number of genomic locations
115.0	8082.0
116.0	7763.0
117.0	7708.0
118.0	7439.0
119.0	7379.0
120.0	7035.0
121.0	7188.0
122.0	6978.0
123.0	6630.0
124.0	6691.0
125.0	6517.0
126.0	6411.0
127.0	6274.0
128.0	5901.0
129.0	5891.0
130.0	5736.0
131.0	5493.0
132.0	5525.0
133.0	5347.0
134.0	5286.0
135.0	5258.0
136.0	5043.0
137.0	5044.0
138.0	5006.0
139.0	4980.0
140.0	4915.0
141.0	5030.0
142.0	4822.0
143.0	4566.0
144.0	4628.0
145.0	4517.0
146.0	4512.0
147.0	4674.0
148.0	4485.0
149.0	4427.0
150.0	4352.0
151.0	4162.0
152.0	4234.0
153.0	4077.0
154.0	3820.0
155.0	3950.0
156.0	3861.0
157.0	3833.0
158.0	3828.0
159.0	3769.0
160.0	3708.0
161.0	3619.0
162.0	3647.0
163.0	3438.0
164.0	3329.0
165.0	3359.0
166.0	3376.0
167.0	3132.0
168.0	3259.0
169.0	3147.0
170.0	3272.0
171.0	3172.0
172.0	3317.0
173.0	3120.0
174.0	3187.0
175.0	2926.0
176.0	2967.0
177.0	2918.0
178.0	2782.0
179.0	2781.0
180.0	2776.0
181.0	2733.0
182.0	2758.0
183.0	2610.0
184.0	2628.0
185.0	2626.0
186.0	2514.0
187.0	2550.0
188.0	2512.0
189.0	2493.0
190.0	2426.0
191.0	2440.0
192.0	2394.0
193.0	2213.0
194.0	2342.0
195.0	2342.0
196.0	2296.0
197.0	2262.0
198.0	2299.0
199.0	2313.0
200.0	2280.0
201.0	2229.0
202.0	2321.0
203.0	2169.0
204.0	2183.0
205.0	2245.0
206.0	2143.0
207.0	2194.0
208.0	2101.0
209.0	2098.0
210.0	1962.0
211.0	1882.0
212.0	1901.0
213.0	1919.0
214.0	1928.0
215.0	1930.0
216.0	1907.0
217.0	1904.0
218.0	1833.0
219.0	1803.0
220.0	1707.0
221.0	1778.0
222.0	1739.0
223.0	1767.0
224.0	1732.0
225.0	1816.0
226.0	1678.0
227.0	1666.0
228.0	1620.0
229.0	1649.0
230.0	1588.0
231.0	1489.0
232.0	1544.0
233.0	1530.0
234.0	1485.0
235.0	1534.0
236.0	1510.0
237.0	1472.0
238.0	1506.0
239.0	1482.0
240.0	1483.0
241.0	1477.0
242.0	1516.0
243.0	1468.0
244.0	1584.0
245.0	1522.0
246.0	1488.0
247.0	1381.0
248.0	1472.0
249.0	1501.0
250.0	1382.0
251.0	1481.0
252.0	1507.0
253.0	1487.0
254.0	1414.0
255.0	1441.0
256.0	1474.0
257.0	1408.0
258.0	1337.0
259.0	1299.0
260.0	1354.0
261.0	1327.0
262.0	1220.0
263.0	1271.0
264.0	1191.0
265.0	1203.0
266.0	1199.0
267.0	1184.0
268.0	1204.0
