#Coverage (X)	Coverage
1.0	97.87030850423245
2.0	97.54332165882965
3.0	97.0632282826154
4.0	96.32931319387214
5.0	95.23603108839403
6.0	93.66473466573058
7.0	91.4892910744927
8.0	88.58554815731979
9.0	84.83930909682911
10.0	80.1863729426443
11.0	74.63191354022564
12.0	68.2666037128389
13.0	61.26815949821859
14.0	53.89166488863896
15.0	46.43139836202448
16.0	39.162595938901916
17.0	32.340890595741286
18.0	26.155694335670063
19.0	20.73182969954695
20.0	16.11734837398403
21.0	12.304471845847175
22.0	9.24130886633084
23.0	6.840542539334621
24.0	5.004534127443023
25.0	3.6315393275160233
26.0	2.6231388805519487
27.0	1.8970218414433333
28.0	1.383394104746344
29.0	1.0255925674198068
30.0	0.7772566018615237
31.0	0.6073964554531699
32.0	0.49187013228845444
33.0	0.4128672541856986
34.0	0.35840298854340347
35.0	0.32000395411949967
36.0	0.29242327818539593
37.0	0.27175255157855815
38.0	0.25583286302341435
39.0	0.24283162052159923
40.0	0.23199952676287694
41.0	0.222667733869244
42.0	0.21448936231622895
43.0	0.20721709195098015
44.0	0.20050549355693192
45.0	0.1944851801571872
46.0	0.1889258087325345
47.0	0.18380042061851043
48.0	0.1790102242535454
49.0	0.17447741488449253
50.0	0.17023901801887575
51.0	0.16622430981857406
