#Duplication rate	Coverage
1.0	6.0972236E7
2.0	1.2568454E7
3.0	2206438.0
4.0	394256.0
5.0	90623.0
6.0	34992.0
7.0	20177.0
8.0	14661.0
9.0	11067.0
10.0	8711.0
11.0	6979.0
12.0	5804.0
13.0	4827.0
14.0	4143.0
15.0	3570.0
16.0	2973.0
17.0	2636.0
18.0	2283.0
19.0	1939.0
20.0	1727.0
21.0	1476.0
22.0	1331.0
23.0	1187.0
24.0	998.0
25.0	925.0
26.0	820.0
27.0	663.0
28.0	642.0
29.0	608.0
30.0	492.0
31.0	455.0
32.0	448.0
33.0	384.0
34.0	342.0
35.0	321.0
36.0	270.0
37.0	269.0
38.0	228.0
39.0	201.0
40.0	197.0
41.0	164.0
42.0	153.0
43.0	150.0
44.0	119.0
45.0	127.0
46.0	113.0
47.0	80.0
48.0	93.0
49.0	81.0
50.0	2958.0
