#Mapping quality	mapping quality
0.0	1.0360733E7
1.0	1.0818185E7
2.0	1.0410953E7
3.0	1.0493438E7
4.0	9217291.0
5.0	9133599.0
6.0	9691054.0
7.0	9449373.0
8.0	1.3983793E7
9.0	1.2122314E7
10.0	1.3509772E7
11.0	1.5295127E7
12.0	1.5368681E7
13.0	1.9481063E7
14.0	1.9741002E7
15.0	2.2542284E7
16.0	2.3796197E7
17.0	2.5755015E7
18.0	2.9859642E7
19.0	3.1556232E7
20.0	3.4690029E7
21.0	3.8035079E7
22.0	3.3228542E7
23.0	7.4432166E7
24.0	3.4499772E7
25.0	4.510011E7
26.0	4.4024537E7
27.0	4.302566E7
28.0	4.1291479E7
29.0	4.10543E7
30.0	3.995371E7
31.0	3.6402761E7
32.0	3.8851786E7
33.0	3.4752059E7
34.0	3.4738222E7
35.0	3.1334853E7
36.0	3.1676619E7
37.0	2.8248289E7
38.0	2.8313838E7
39.0	2.2532177E7
40.0	2.7997959E7
41.0	3.2705198E7
42.0	9232430.0
