	441555	393868	313644	340803	320831	393087	250270	343564	348776	312299	342390	311988	333536	353672	505985	124147	366664	1068966
	1976828	1760496	1441311	1500011	1435691	1771249	1129460	1523471	1532493	1414143	1570530	1384027	1469027	1555760	2203575	598228	1558273	4731764
	334520	295855	234693	275605	252752	302824	195862	273404	281216	240169	258741	249363	269204	282282	397996	78471	259268	723082
	506166	457691	376830	397226	375840	460290	293830	400903	405730	365157	404290	364940	389738	409691	579891	132032	380204	990373
	542136	492739	410176	400910	388915	489641	308787	412684	411285	386868	438106	374130	394828	419098	598002	141048	415117	1210845
	2242962	2055627	1727633	1709537	1651823	2044688	1309183	1749024	1751764	1628497	1832331	1594224	1682207	1770974	2492718	603007	1757360	4656519
	2246424	2060604	1729191	1714678	1656062	2048187	1311696	1750227	1756307	1632323	1835506	1598328	1686163	1774860	2497316	603221	1760718	4661166
	541578	494016	411840	402643	391114	491707	308905	414085	412438	388351	440453	375101	395861	420715	597917	141448	415151	1210281
	508026	458991	378603	399942	377916	462664	296398	403494	408836	366579	406151	367353	392263	412382	581768	133366	380755	993035
	333157	294576	234821	275305	252340	302656	195489	272560	280492	239404	258312	248855	269025	281938	396817	78639	258247	724434
	1976833	1762562	1443399	1499314	1435359	1771549	1129420	1522444	1532188	1411809	1570291	1383891	1469715	1556019	2202936	599415	1559765	4737015
	443278	394893	315001	342420	321752	395205	251038	344660	350079	312510	343239	313239	334767	355142	508212	125169	367492	1076961
