#Coverage (X)	Coverage
1.0	95.6012996639054
2.0	92.97048106178093
3.0	89.23525154448599
4.0	84.15788517248808
5.0	77.63020748929767
6.0	69.72735135435822
7.0	60.74992601019646
8.0	51.204851263541215
9.0	41.69514022750234
10.0	32.800898657866384
11.0	24.95589991186658
12.0	18.384375752472522
13.0	13.15052960411522
14.0	9.159963485034964
15.0	6.238797763138251
16.0	4.1755394122276215
17.0	2.765331588488934
18.0	1.8309883843808024
19.0	1.2265231718154155
20.0	0.8435224494366764
21.0	0.6031881738044547
22.0	0.4537866678008129
23.0	0.36049706252461533
24.0	0.30105644923294506
25.0	0.2622924490919445
26.0	0.23570557531736824
27.0	0.21661909680928204
28.0	0.20183312246977891
29.0	0.18999280878476554
30.0	0.18002194198118104
31.0	0.1712740259851131
32.0	0.1634273483797557
33.0	0.15642065498443003
34.0	0.15003802054670246
35.0	0.1441541214016695
36.0	0.13873491796982762
37.0	0.13366157031570935
38.0	0.12894772839599966
39.0	0.1244780500766609
40.0	0.12029979833272364
41.0	0.11637961608252567
42.0	0.11276979972265622
43.0	0.10938998513307752
44.0	0.10619649245235507
45.0	0.10317831640291786
46.0	0.10033690729267164
47.0	0.09764061428452919
48.0	0.09506085778164675
49.0	0.09264379170011239
50.0	0.09041091472171559
51.0	0.08820747046243582
