#Insert size (bp)	insert size
359.0	88057.0
360.0	87867.0
361.0	87353.0
362.0	88113.0
363.0	87533.0
364.0	87972.0
365.0	86658.0
366.0	87350.0
367.0	86981.0
368.0	86853.0
369.0	86186.0
370.0	86210.0
371.0	85462.0
372.0	85790.0
373.0	85232.0
374.0	85141.0
375.0	84924.0
376.0	84394.0
377.0	84163.0
378.0	84060.0
379.0	83937.0
380.0	83538.0
381.0	83197.0
382.0	82930.0
383.0	83137.0
384.0	82403.0
385.0	82338.0
386.0	82149.0
387.0	82529.0
388.0	81449.0
389.0	81849.0
390.0	81039.0
391.0	80949.0
392.0	81431.0
393.0	80904.0
394.0	80588.0
395.0	80446.0
396.0	79982.0
397.0	79634.0
398.0	78861.0
399.0	79401.0
400.0	79288.0
401.0	78356.0
402.0	78427.0
403.0	78305.0
404.0	78200.0
405.0	78002.0
406.0	77705.0
407.0	77162.0
408.0	76876.0
409.0	76609.0
410.0	76115.0
411.0	76204.0
412.0	76047.0
413.0	75701.0
414.0	75844.0
415.0	75429.0
416.0	74888.0
417.0	74964.0
418.0	75150.0
419.0	74337.0
420.0	74117.0
421.0	74117.0
422.0	73410.0
423.0	73432.0
424.0	72529.0
425.0	72544.0
426.0	72880.0
427.0	72332.0
428.0	72373.0
429.0	71636.0
430.0	71277.0
431.0	71292.0
432.0	71095.0
433.0	70700.0
434.0	71142.0
435.0	70781.0
436.0	70752.0
437.0	69727.0
438.0	69409.0
439.0	69861.0
440.0	68879.0
441.0	68835.0
442.0	69492.0
443.0	68379.0
444.0	68745.0
445.0	68528.0
446.0	68114.0
447.0	67998.0
448.0	67267.0
449.0	67720.0
450.0	66850.0
451.0	66028.0
452.0	66292.0
453.0	66324.0
454.0	65677.0
455.0	65829.0
456.0	65749.0
457.0	65329.0
458.0	65232.0
459.0	65013.0
460.0	65199.0
461.0	64748.0
462.0	64359.0
463.0	64023.0
464.0	63782.0
465.0	63635.0
466.0	63134.0
467.0	63017.0
468.0	63179.0
469.0	62990.0
470.0	62316.0
471.0	61904.0
472.0	61908.0
473.0	61669.0
474.0	61017.0
475.0	61638.0
476.0	61037.0
477.0	60988.0
478.0	60586.0
479.0	60060.0
480.0	60011.0
481.0	59813.0
482.0	59610.0
483.0	59444.0
484.0	59873.0
485.0	59405.0
486.0	59257.0
487.0	58835.0
488.0	58312.0
489.0	57796.0
490.0	57593.0
491.0	58017.0
492.0	57389.0
493.0	57535.0
494.0	57055.0
495.0	56956.0
496.0	56893.0
497.0	56593.0
498.0	56521.0
499.0	56464.0
500.0	56141.0
501.0	52706.0
502.0	52277.0
503.0	52258.0
504.0	51903.0
505.0	51432.0
506.0	51272.0
507.0	50811.0
508.0	50783.0
509.0	50587.0
510.0	50242.0
511.0	50157.0
512.0	50177.0
513.0	50594.0
514.0	52027.0
515.0	56108.0
516.0	48601.0
517.0	48349.0
518.0	48724.0
519.0	49508.0
520.0	49648.0
521.0	49705.0
522.0	49959.0
523.0	50300.0
524.0	50723.0
525.0	53156.0
526.0	63471.0
527.0	90401.0
528.0	139357.0
529.0	28008.0
530.0	28265.0
531.0	29045.0
532.0	29421.0
533.0	29739.0
534.0	30385.0
535.0	31051.0
536.0	31208.0
537.0	32353.0
538.0	33035.0
