#Duplication rate	Coverage
1.0	5.6699399E7
2.0	4683951.0
3.0	413097.0
4.0	59663.0
5.0	17743.0
6.0	9563.0
7.0	6090.0
8.0	4288.0
9.0	3043.0
10.0	2351.0
11.0	1873.0
12.0	1569.0
13.0	1286.0
14.0	1108.0
15.0	892.0
16.0	848.0
17.0	715.0
18.0	616.0
19.0	546.0
20.0	510.0
21.0	478.0
22.0	411.0
23.0	372.0
24.0	357.0
25.0	338.0
26.0	282.0
27.0	269.0
28.0	238.0
29.0	232.0
30.0	159.0
31.0	175.0
32.0	179.0
33.0	134.0
34.0	143.0
35.0	120.0
36.0	120.0
37.0	99.0
38.0	113.0
39.0	78.0
40.0	91.0
41.0	85.0
42.0	75.0
43.0	50.0
44.0	45.0
45.0	49.0
46.0	62.0
47.0	41.0
48.0	34.0
49.0	64.0
50.0	2057.0
