#GC Content (%)	Sample
1.0	1.171749403110854E-7
2.0	2.343498806221708E-7
3.0	1.757624104666281E-7
4.0	1.171749403110854E-7
5.0	2.343498806221708E-7
6.0	1.757624104666281E-7
7.0	5.272872313998843E-7
8.0	5.272872313998843E-7
9.0	1.171749403110854E-6
10.0	1.2303368732663967E-6
11.0	1.3475118135774823E-6
12.0	2.3434988062217077E-6
13.0	4.159710381043531E-6
14.0	5.448634724465472E-6
15.0	7.967895941153807E-6
16.0	1.341653066561928E-5
17.0	1.904092780055138E-5
18.0	2.9235147607615814E-5
19.0	5.184991108765529E-5
20.0	8.946306692751371E-5
21.0	1.658611280103414E-4
22.0	2.8110268180629386E-4
23.0	5.146909253164427E-4
24.0	9.038874895597127E-4
25.0	0.0017939483361627175
26.0	0.0023866191842561875
27.0	0.004191992077099236
28.0	0.006404137775232218
29.0	0.009309549007715735
30.0	0.01301889750567361
31.0	0.017359936106848547
32.0	0.02226792565671867
33.0	0.027346287569801113
34.0	0.032377779506759116
35.0	0.03691250828426828
36.0	0.040854566213683975
37.0	0.04375136508805462
38.0	0.045701683382062486
39.0	0.046679039559197257
40.0	0.046535441669846016
41.0	0.04555925724211436
42.0	0.0441157791524221
43.0	0.04226072408488715
44.0	0.039940953204078436
45.0	0.03749234847639768
46.0	0.03514691628366085
47.0	0.032724265805259
48.0	0.030403967637218886
49.0	0.028384106016136394
50.0	0.026466772467826104
51.0	0.02676011993089491
52.0	0.02079316185796335
53.0	0.022878289920799117
54.0	0.021371595950809022
55.0	0.018255504175646173
56.0	0.016072769387531275
57.0	0.014342739981308254
58.0	0.012714008310984164
59.0	0.011040808750812021
60.0	0.009536516867098306
61.0	0.008391600525318692
62.0	0.007363566186499385
63.0	0.006486746108151532
64.0	0.005759558428580937
65.0	0.005188975056736106
66.0	0.004626652518183207
67.0	0.004046460801232867
68.0	0.0034688469329693726
69.0	0.002960659216840195
70.0	0.002535079833630333
71.0	0.0020955566325234513
72.0	0.001773091196787344
73.0	0.001534464430843819
74.0	0.0013276506611947533
75.0	0.0011190206799708657
76.0	9.435512068550153E-4
77.0	8.24677229909419E-4
78.0	7.393738733629489E-4
79.0	6.685416219448979E-4
80.0	5.992326447508908E-4
81.0	5.235962207800852E-4
82.0	4.5586910528027774E-4
83.0	3.7665884562998404E-4
84.0	3.0037795948746745E-4
85.0	2.2556176009883944E-4
86.0	1.5502244603156598E-4
87.0	1.0534027133966577E-4
88.0	6.62624287459188E-5
89.0	4.329614044494606E-5
90.0	2.261476348003948E-5
91.0	1.0838681978775398E-5
92.0	5.272872313998844E-6
93.0	2.0505614554439947E-6
94.0	8.788120523331405E-7
95.0	2.929373507777135E-7
96.0	1.757624104666281E-7
97.0	1.171749403110854E-7
98.0	5.85874701555427E-8
99.0	5.85874701555427E-8
100.0	5.741572075243185E-6
