#Mapping quality	mapping quality
0.0	1.0206849E7
1.0	1.0963861E7
2.0	1.0298043E7
3.0	1.0261895E7
4.0	9107266.0
5.0	9049598.0
6.0	9686761.0
7.0	9671806.0
8.0	1.3501419E7
9.0	1.2293816E7
10.0	1.3635965E7
11.0	1.5296008E7
12.0	1.5795095E7
13.0	1.9302185E7
14.0	1.9921267E7
15.0	2.2581589E7
16.0	2.4146401E7
17.0	2.6211043E7
18.0	2.9810947E7
19.0	3.1953327E7
20.0	3.5036393E7
21.0	3.8312492E7
22.0	3.7606356E7
23.0	6.6263597E7
24.0	3.7863526E7
25.0	4.5617228E7
26.0	4.4326114E7
27.0	4.3319925E7
28.0	4.1924486E7
29.0	4.111676E7
30.0	3.9972482E7
31.0	3.7438443E7
32.0	3.8369408E7
33.0	3.5072308E7
34.0	3.462296E7
35.0	3.1675236E7
36.0	3.1353845E7
37.0	2.8316895E7
38.0	2.7959332E7
39.0	2.3919942E7
40.0	2.7220776E7
41.0	3.1081551E7
42.0	8071211.0
