#Mapping quality	mapping quality
0.0	1008859.0
1.0	3384094.0
2.0	670264.0
3.0	765982.0
4.0	841007.0
5.0	821519.0
6.0	866215.0
7.0	675199.0
8.0	896299.0
9.0	696205.0
10.0	716606.0
11.0	785621.0
12.0	805708.0
13.0	866718.0
14.0	923313.0
15.0	1003083.0
16.0	1056445.0
17.0	1080826.0
18.0	1238910.0
19.0	1272072.0
20.0	1372625.0
21.0	1670206.0
22.0	1642129.0
23.0	2810575.0
24.0	2833087.0
25.0	2473197.0
26.0	2799454.0
27.0	3192098.0
28.0	3745640.0
29.0	4177386.0
30.0	4928947.0
31.0	5422766.0
32.0	7086868.0
33.0	8214411.0
34.0	1.0072503E7
35.0	1.2779804E7
36.0	1.7358184E7
37.0	2.3063552E7
38.0	3.4797081E7
39.0	5.4347176E7
40.0	1.00882015E8
41.0	2.70560627E8
42.0	5.49907081E8
