#Coverage (X)	Coverage
1.0	97.12792376302878
2.0	96.13702850266935
3.0	95.12173011853902
4.0	93.93926614902504
5.0	92.44517806751243
6.0	90.4798410234862
7.0	87.87826941985433
8.0	84.49421345862913
9.0	80.2423488851395
10.0	75.11552156008166
11.0	69.18101676140566
12.0	62.609461275788036
13.0	55.63494092395498
14.0	48.51374446682127
15.0	41.50946559045249
16.0	34.84765141089969
17.0	28.71769709794215
18.0	23.244165507541823
19.0	18.494374586501408
20.0	14.480751226935169
21.0	11.17024422338146
22.0	8.500315294309075
23.0	6.394118643266637
24.0	4.763375817911793
25.0	3.5259068345689997
26.0	2.602546747668555
27.0	1.9232711020371624
28.0	1.4313557385115132
29.0	1.0780726450877154
30.0	0.8275211286695026
31.0	0.6509333370696169
32.0	0.5271843173812698
33.0	0.44067711082924177
34.0	0.37967562303708746
35.0	0.3362693246954649
36.0	0.30502924648055796
37.0	0.28204564799595744
38.0	0.2646988266793926
39.0	0.251134973640319
40.0	0.24019803576732102
41.0	0.2309589448340006
42.0	0.22304188175414197
43.0	0.21616029402061088
44.0	0.2098419682184982
45.0	0.2041181306796318
46.0	0.19874491054066823
47.0	0.19377500223659183
48.0	0.18909707710605517
49.0	0.1846593741098701
50.0	0.1804568019982753
51.0	0.17646602587655025
