#Duplication rate	Coverage
1.0	6.3031179E7
2.0	1.4362039E7
3.0	3731853.0
4.0	1060274.0
5.0	328832.0
6.0	114675.0
7.0	45574.0
8.0	22219.0
9.0	12753.0
10.0	8510.0
11.0	6316.0
12.0	4959.0
13.0	3901.0
14.0	3312.0
15.0	2718.0
16.0	2421.0
17.0	1948.0
18.0	1711.0
19.0	1550.0
20.0	1273.0
21.0	1214.0
22.0	983.0
23.0	920.0
24.0	764.0
25.0	712.0
26.0	632.0
27.0	588.0
28.0	499.0
29.0	445.0
30.0	443.0
31.0	370.0
32.0	376.0
33.0	353.0
34.0	312.0
35.0	265.0
36.0	241.0
37.0	226.0
38.0	211.0
39.0	182.0
40.0	181.0
41.0	145.0
42.0	153.0
43.0	114.0
44.0	128.0
45.0	116.0
46.0	111.0
47.0	127.0
48.0	94.0
49.0	99.0
50.0	2148.0
