#Duplication rate	Coverage
1.0	5.9681566E7
2.0	8495378.0
3.0	936637.0
4.0	362931.0
5.0	63048.0
6.0	40421.0
7.0	14410.0
8.0	10341.0
9.0	6350.0
10.0	4980.0
11.0	3758.0
12.0	3222.0
13.0	2475.0
14.0	2082.0
15.0	1784.0
16.0	1543.0
17.0	1333.0
18.0	1133.0
19.0	973.0
20.0	884.0
21.0	743.0
22.0	692.0
23.0	625.0
24.0	516.0
25.0	466.0
26.0	421.0
27.0	373.0
28.0	336.0
29.0	292.0
30.0	263.0
31.0	254.0
32.0	250.0
33.0	228.0
34.0	192.0
35.0	175.0
36.0	170.0
37.0	173.0
38.0	141.0
39.0	144.0
40.0	123.0
41.0	94.0
42.0	111.0
43.0	112.0
44.0	96.0
45.0	92.0
46.0	99.0
47.0	77.0
48.0	80.0
49.0	58.0
50.0	5120.0
