#Position (bp)	Coverage
1473116.5	12.110349083167923
4419348.5	10.298856980712992
7365580.5	9.312319260669222
1.03118125E7	6.117720871947626
1.32580445E7	7.775689762381238
1.62042765E7	9.045875884859033
1.91505085E7	5.416144757099916
2.20967405E7	7.220823750471789
2.50429725E7	7.190127932898699
2.79892045E7	7.552961206042158
3.09354365E7	6.8125059397902135
3.38816685E7	7.806985668474173
3.68279005E7	8.185243728260367
3.97741325E7	8.042989825648489
4.27203645E7	7.788492895332071
4.56665965E7	5.233234178435371
4.86128285E7	7.560992141827256
5.15590605E7	7.863508033311701
5.45052925E7	10.622258192837496
5.74515245E7	11.522156775162308
6.03977565E7	8.82435938514007
6.33439885E7	9.255803344746782
6.62902205E7	9.434616825830417
6.92364525E7	8.397305100209351
7.21826845E7	7.688931150024845
7.51289165E7	18.654537388773186
7.80751485E7	8.955366379837026
8.10213805E7	8.005955403376245
8.39676125E7	8.719573679194307
8.69138445E7	10.255906527388204
8.98600765E7	10.404899885684495
9.28063085E7	8.569007803866091
9.57525405E7	7.841850879360485
9.86987725E7	6.958665169613255
1.016450045E8	8.542551978255617
1.045912365E8	6.061382131481839
1.075374685E8	6.9759506379674106
1.104837005E8	5.1825643737492495
1.134299325E8	8.755247040966225
1.163761645E8	9.111498687136654
1.193223965E8	9.619563225163532
1.222686285E8	9.623309365996976
1.252148605E8	6.439335055759356
1.281610925E8	6.978679547299738
1.311073245E8	8.641008243749983
1.340535565E8	8.754140542903613
1.369997885E8	7.261783186117047
1.399460205E8	6.670761162053769
1.428922525E8	8.41189729797246
1.458384845E8	8.721893930959952
1.487847165E8	9.343117242633982
1.517309485E8	8.068531941815852
1.546771805E8	5.752947833028763
1.576234125E8	8.280631328422201
1.605696445E8	6.429559518734438
1.635158765E8	4.998011697653138
1.664621085E8	5.307559282500495
1.694083405E8	7.583238183551058
1.723545725E8	5.60319723633441
1.753008045E8	4.8073179573095395
1.782470365E8	5.133871331246148
1.811932685E8	7.632774336847879
1.841395005E8	9.296690824076311
1.870857325E8	8.627239810035327
1.900319645E8	7.876978459265937
1.929781965E8	9.506778828008114
1.959244285E8	9.135931589908738
1.988706605E8	7.688406072569981
2.018168925E8	7.566808044987631
2.047631245E8	9.445056940526069
2.077093565E8	11.513693422649675
2.106555885E8	9.045690563404376
2.136018205E8	8.705940333279932
2.154737165E8	8.1530981995085
2.169468325E8	10.35282909629762
2.194942845E8	8.79586706002786
2.224405165E8	10.125779300475998
2.253867485E8	8.543997214068682
2.283329805E8	7.3950252390171585
2.312792125E8	8.348409086589243
2.342254445E8	8.758056731445453
2.371716765E8	7.645854433730949
2.401179085E8	7.644851457726343
2.430641405E8	8.370294667901238
2.460103725E8	5.833397030512193
2.489566045E8	7.513986339161343
2.519028365E8	8.215476581613396
2.548490685E8	7.866549205900961
2.577953005E8	7.8034326556768105
2.607415325E8	8.427886534393762
2.636877645E8	7.938091433396963
2.666339965E8	8.492425240103291
2.695802285E8	8.221875602464436
2.725264605E8	8.242031856282873
2.754726925E8	6.498296468166798
2.784189245E8	10.559191876267722
2.813651565E8	9.803693667029616
2.843113885E8	9.400045549705522
2.872576205E8	9.153446164456838
2.902038525E8	8.781365147075993
2.931500845E8	6.645529612060422
2.960963165E8	5.168963611826903
2.990425485E8	6.402357316056577
3.019887805E8	7.066258529538747
3.049350125E8	7.3249778021554315
3.078812445E8	6.756717733023061
3.108274765E8	7.494735648788011
3.137737085E8	7.198506431265426
3.167199405E8	8.640356224492844
