#Mapping quality	mapping quality
0.0	1644870.0
1.0	4112804.0
2.0	903689.0
3.0	1319580.0
4.0	1213570.0
5.0	1214797.0
6.0	1337974.0
7.0	1076879.0
8.0	1921849.0
9.0	1067731.0
10.0	1124587.0
11.0	1236108.0
12.0	1234638.0
13.0	1500406.0
14.0	1499293.0
15.0	1608135.0
16.0	1789249.0
17.0	1656158.0
18.0	1937484.0
19.0	1922013.0
20.0	2075716.0
21.0	2554678.0
22.0	2510287.0
23.0	5505250.0
24.0	6932756.0
25.0	3459903.0
26.0	3850821.0
27.0	4473213.0
28.0	5474017.0
29.0	6460645.0
30.0	7412239.0
31.0	6785900.0
32.0	1.1147595E7
33.0	1.1034439E7
34.0	1.2067532E7
35.0	1.3798312E7
36.0	1.7771562E7
37.0	2.0372929E7
38.0	2.5987615E7
39.0	2.9511615E7
40.0	7.3798312E7
41.0	2.34728717E8
42.0	5.70486733E8
