#Mapping quality	mapping quality
0.0	929587.0
1.0	3426679.0
2.0	634555.0
3.0	727064.0
4.0	805496.0
5.0	754616.0
6.0	811355.0
7.0	618034.0
8.0	837970.0
9.0	638100.0
10.0	657831.0
11.0	733723.0
12.0	740762.0
13.0	812621.0
14.0	849103.0
15.0	936420.0
16.0	980422.0
17.0	1010836.0
18.0	1150504.0
19.0	1192313.0
20.0	1288251.0
21.0	1494785.0
22.0	1524889.0
23.0	2683373.0
24.0	2546913.0
25.0	2303090.0
26.0	2685416.0
27.0	3059739.0
28.0	3519769.0
29.0	3999317.0
30.0	4700413.0
31.0	5201620.0
32.0	6852734.0
33.0	7872049.0
34.0	1.0040509E7
35.0	1.2724807E7
36.0	1.7586029E7
37.0	2.3684299E7
38.0	3.6674908E7
39.0	5.755247E7
40.0	1.00914996E8
41.0	2.60520188E8
42.0	5.58683663E8
