#Position (bp)	Coverage
1465207.0	15.095290663807457
4395620.0	12.007012663402735
7326033.0	12.435902379630448
1.0256446E7	10.48290735810959
1.3186859E7	11.891189740149255
1.6117272E7	13.22562758218722
1.9047685E7	10.440234874742911
2.1978098E7	11.255213855521388
2.4908511E7	11.029192472187367
2.7838924E7	11.550497489603002
3.0769337E7	11.09947437443118
3.369975E7	11.889378391373503
3.6630163E7	12.176218846967988
3.9560576E7	11.901341551515094
4.2490989E7	11.665904771784728
4.5421402E7	10.292531462288762
4.8351815E7	12.002260432232589
5.1282228E7	12.169210961048835
5.4212641E7	15.451542837135927
5.7143054E7	14.32528077100395
6.0073467E7	12.576287028483698
6.300388E7	12.411561442021995
6.5934293E7	13.086982619855972
6.8864706E7	11.692599302555646
7.1795119E7	11.109561689768643
7.4725532E7	11.9730253039418
7.7655945E7	11.401492212872384
8.0586358E7	11.846547568550918
8.3516771E7	11.59649476029488
8.6447184E7	13.562385575002567
8.9377597E7	12.81004554648099
9.230801E7	12.7470428229741
9.5238423E7	11.410108404514995
9.8168836E7	11.820376172232379
1.01099249E8	12.289225784897896
1.04029662E8	10.365122595347481
1.06960075E8	10.97942030696697
1.09890488E8	10.375507138413596
1.12820901E8	12.74027722372239
1.15751314E8	13.222008638372817
1.18681727E8	12.811551136307408
1.2161214E8	13.353462805413434
1.24542553E8	10.796628666334746
1.27472966E8	11.366773215925537
1.30403379E8	12.256293908060059
1.33333792E8	12.072230091799348
1.36264205E8	11.269871175155174
1.39194618E8	11.50010629900973
1.42125031E8	11.775612857300318
1.45055444E8	12.403712036494515
1.47985857E8	12.587803493910243
1.5091627E8	11.708121346718022
1.53846683E8	10.419497866000459
1.56777096E8	11.965743053965431
1.59707509E8	10.721135211999128
1.62637922E8	9.971208495184808
1.65568335E8	10.135611601504634
1.68498748E8	10.816525861713007
1.71429161E8	10.370678126257289
1.74359574E8	9.98805492604626
1.77289987E8	10.205099076478298
1.802204E8	11.088732543842797
1.83150813E8	13.128169988325878
1.86081226E8	12.224779578851173
1.89011639E8	11.77864519438045
1.91942052E8	13.152973318095436
1.94872465E8	12.69044431621072
1.97802878E8	11.528543587542098
2.00733291E8	11.528244312320481
2.03663704E8	12.540981083553751
2.06594117E8	14.037165751039188
2.0952453E8	11.648116835408524
2.12454943E8	12.661838109508796
2.141011355E8	11.693440376603716
2.15566342E8	12.560121879381306
2.18315769E8	12.041414640188943
2.21246182E8	12.886135503766875
2.24176595E8	11.818253604526051
2.27107008E8	11.340028180328165
2.30037421E8	13.139486823188404
2.32967834E8	12.70308314903053
2.35898247E8	11.596542193881886
2.3882866E8	11.870037431583876
2.41759073E8	11.90421145415339
2.44689486E8	10.67283826545951
2.47619899E8	11.665061204683436
2.50550312E8	12.451659202986063
2.53480725E8	11.32246478568038
2.56411138E8	11.515431442598706
2.59341551E8	12.571215388411122
2.62271964E8	12.407888580892864
2.65202377E8	11.660352994612023
2.6813279E8	11.346050539633833
2.71063203E8	11.301851991511095
2.73993616E8	11.784597256427677
2.76924029E8	13.13284577975869
2.79854442E8	12.610102057286806
2.82784855E8	12.829412099932672
2.85715268E8	12.942137848828818
2.88645681E8	11.842207224715423
2.91576094E8	10.111183986694027
2.94506507E8	10.366666405042565
2.9743692E8	11.108703107718947
3.00367333E8	11.103379284762934
3.03297746E8	12.210686343529051
3.06228159E8	11.0600942597511
3.09158572E8	10.827335259569214
3.12088985E8	12.404359044271233
3.15019398E8	11.070469247850047
3.17949811E8	10.113907834834203
3.20880224E8	11.934219852287033
3.23810637E8	11.228392721435512
3.2674105E8	12.68669672158839
3.29671463E8	10.936417494735384
3.32601876E8	11.48937299964203
3.35532289E8	11.620680770935701
3.38462702E8	11.575471785035079
3.41393115E8	11.791413019257012
3.44323528E8	10.869416699966864
3.47253941E8	11.406464549536192
3.50184354E8	12.110809295481559
3.53114767E8	12.915438199325488
3.5604518E8	12.111359388591302
3.58975593E8	11.058688997079933
3.61906006E8	12.321368011949168
3.64836419E8	12.735639310909418
3.67766832E8	11.681598464107278
3.70697245E8	10.817749238759179
3.73627658E8	11.81187429894694
3.76133706E8	13.939812641982472
3.775989125E8	11.663878972111272
3.79488484E8	12.466636955268763
3.82418897E8	13.121863027498172
3.8534931E8	13.708674511067212
3.88279723E8	12.005177427209066
3.91210136E8	13.270662531185877
3.94140549E8	13.34948384408614
3.97070962E8	11.93068144319589
4.00001375E8	11.504964658565193
4.02931788E8	12.604434255512789
4.05862201E8	12.184315316646494
4.08792614E8	12.036399306172884
4.11723027E8	13.971653824904545
4.1465344E8	11.998589618596423
4.17583853E8	11.581019467221855
4.20514266E8	12.395989575530821
4.23444679E8	12.738317431706726
4.26375092E8	11.530289416542992
4.29305505E8	12.459926638327088
4.32235918E8	12.85663488388838
4.35166331E8	13.566447118546089
4.38096744E8	11.902765582871766
4.41027157E8	12.272377647792307
4.4395757E8	11.59269802584141
4.46887983E8	11.92437106987991
4.49818396E8	11.587139082443327
4.52748809E8	13.257058646682225
4.55679222E8	10.791145480176343
4.58609635E8	10.657727426134132
4.61540048E8	12.043321538636363
4.64470461E8	11.771041829257515
4.67400874E8	11.359459912305876
4.70331287E8	11.064003606317607
4.732617E8	14.138762010679041
4.76192113E8	11.501591072657677
4.79122526E8	11.134730155783503
4.82052939E8	11.242945618928117
4.84983352E8	12.659272259575697
4.87913765E8	10.586513232093907
4.90844178E8	11.413307612271717
4.93774591E8	11.651974994650924
4.96705004E8	11.691439056542542
4.99635417E8	14.052332555172256
5.01414164E8	15.733812697243259
5.028793705E8	14.635356952449756
5.05496243E8	11.860245978979755
5.08426656E8	11.586710473916135
5.11357069E8	10.515992455670924
5.14287482E8	11.358949745308937
5.17217895E8	11.387145429671516
5.20148308E8	13.225330354458569
5.23078721E8	10.57680333795953
5.26009134E8	11.880940331618785
5.28939547E8	12.257226882354125
5.3186996E8	11.19140203104477
5.34800373E8	12.419602970639293
5.37730786E8	10.797043624908843
5.40661199E8	10.434341507493995
5.43591612E8	14.22363332403999
5.46522025E8	11.305375044405004
5.49452438E8	12.175213186673687
5.52382851E8	12.174362794595847
5.55313264E8	11.534894910717362
5.58243677E8	11.980390477383223
5.6117409E8	11.101646423217478
5.64104503E8	10.508079577861551
5.67034916E8	11.545954785212869
5.69965329E8	12.091122991878619
5.72895742E8	11.99575827707562
5.75826155E8	11.081595665866892
5.78756568E8	12.00639261428338
5.81686981E8	12.611560896023871
5.83308E8	13.068614520657842
5.847732065E8	14.27937465728421
5.87547807E8	14.477685568552966
5.9047822E8	12.709646046478772
5.93408633E8	12.05507892573504
5.96339046E8	12.88601231294019
5.99269459E8	12.412933262308078
6.02199872E8	11.573000461027165
6.05130285E8	11.621420939642297
6.08060698E8	13.328331876769589
6.10991111E8	12.622680830312996
6.13921524E8	12.829575558120988
6.16851937E8	10.83362003922314
6.1978235E8	10.558181730698028
6.22712763E8	11.74705306043892
6.25643176E8	13.878617109601958
