#Duplication rate	Coverage
1.0	6.4169219E7
2.0	1.3330717E7
3.0	2332801.0
4.0	402467.0
5.0	82629.0
6.0	26353.0
7.0	13562.0
8.0	9214.0
9.0	6801.0
10.0	5219.0
11.0	4219.0
12.0	3520.0
13.0	3035.0
14.0	2588.0
15.0	2163.0
16.0	1917.0
17.0	1643.0
18.0	1449.0
19.0	1279.0
20.0	1123.0
21.0	981.0
22.0	937.0
23.0	764.0
24.0	717.0
25.0	630.0
26.0	584.0
27.0	507.0
28.0	422.0
29.0	384.0
30.0	336.0
31.0	332.0
32.0	300.0
33.0	279.0
34.0	210.0
35.0	209.0
36.0	201.0
37.0	180.0
38.0	155.0
39.0	146.0
40.0	156.0
41.0	99.0
42.0	116.0
43.0	105.0
44.0	102.0
45.0	105.0
46.0	80.0
47.0	74.0
48.0	65.0
49.0	72.0
50.0	3932.0
