chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chrZ	40621395	41559689	-0.342825	-0.087073	-0.063610	-0.296248
chrZ	41559739	42371393	0.064152	0.013519	0.011102	0.059730
chrZ	42404422	43417210	-0.028192	-0.008480	-0.006431	-0.027823
chrZ	43424439	44047875	0.028254	0.008331	0.006453	0.024361
chrZ	44048845	44784640	-0.271092	-0.079823	-0.061326	-0.247033
chrZ	44784648	45483161	-0.308145	-0.140485	-0.099663	-0.306067
chrZ	45498024	45922176	-0.323103	-0.165075	-0.101973	-0.304897
chrZ	45948395	47470308	-0.000820	-0.000348	-0.000274	-0.000779
chrZ	47547069	48961910	0.010675	0.003996	0.003213	0.010285
chrZ	48961964	50281968	-0.036132	-0.010739	-0.007917	-0.033806
chrZ	50309434	51775647	-0.171638	-0.038807	-0.031869	-0.165992
chrZ	51854889	52763706	-0.082077	-0.022840	-0.017877	-0.080109
chrZ	52763745	53497129	0.072451	0.017883	0.014390	0.069290
chrZ	53499804	54128812	-0.235013	-0.067976	-0.053236	-0.209434
chrZ	54140109	55286549	0.206279	0.062612	0.048284	0.201657
chrZ	55334092	56402407	-0.157895	-0.041771	-0.031764	-0.149773
chrZ	56402696	57422393	0.005099	0.001409	0.001151	0.011521
chrZ	57494887	58751229	-0.032164	-0.008369	-0.006513	-0.013587
chrZ	58757051	60112224	0.126023	0.038343	0.030622	0.124797
chrZ	60115490	61046730	0.018945	0.004758	0.004020	0.017020
chrZ	61049910	61987403	-0.197568	-0.050702	-0.040060	-0.202985
chrZ	61998145	62756119	-0.202622	-0.057020	-0.042688	-0.163123
chrZ	62858454	63575530	-0.145486	-0.045500	-0.034836	-0.130010
chrZ	63582567	64318652	0.094215	0.023119	0.018741	0.084612
chrZ	64376923	65209248	0.046473	0.009217	0.007067	0.043344
chrZ	65251701	66617804	0.085072	0.015030	0.011586	0.085072
chrZ	66633659	67706401	-0.282873	-0.056140	-0.038786	-0.260958
chrZ	67713008	68411921	-0.227830	-0.049645	-0.035711	-0.216710
chrZ	68411941	69106590	-0.346626	-0.105378	-0.067295	-0.342424
chrZ	69110977	70220845	-0.178322	-0.055909	-0.039954	-0.177206
chrZ	70225851	71830547	-0.085082	-0.018399	-0.013638	-0.082147
chrZ	71839351	73227347	-0.130979	-0.032258	-0.022055	-0.121308
chrZ	73250719	73763993	0.006609	0.002333	0.001551	0.006401
chrZ	73764001	74457692	0.265414	0.073886	0.056905	0.233592
chrZ	74464780	75114536	0.224138	0.070896	0.051990	0.196375
chrZ	75126876	76214884	-0.012031	-0.004058	-0.003092	0.001002
chrZ	76214916	76882472	-0.155168	-0.045854	-0.032963	-0.146078
chrZ	76883329	77523286	0.334143	0.094518	0.076950	0.320276
chrZ	77565722	78479075	0.166575	0.038175	0.026765	0.149653
chrZ	78508851	79721558	-0.018051	-0.006595	-0.004563	-0.017007
chrZ	79721565	80316683	0.274519	0.085385	0.066650	0.230844
chrZ	80329316	80804334	-0.132925	-0.035581	-0.021785	-0.110816
chrZ	80810503	81425249	0.272383	0.087099	0.066137	0.239014
chrZ	81430931	82040170	0.166858	0.055508	0.039445	0.151292
chrZ	82077289	82542032	-0.081544	-0.020135	-0.012959	-0.068766
chrZ	82544615	83312781	0.058119	0.020182	0.013213	0.053330
chrZ	83339033	84145625	0.192111	0.071100	0.050719	0.180115
