chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chrZ	50296647	51400864	-0.163662	-0.008755	-0.007587	-0.152062
chrZ	51400868	52316425	0.092958	0.003893	0.003309	0.092958
chrZ	52347297	53128835	-0.083520	-0.003359	-0.002829	-0.078652
chrZ	53130893	53691741	-0.257951	-0.011591	-0.009747	-0.257951
chrZ	53695297	54335847	0.048221	0.001964	0.001658	0.045556
chrZ	54377801	55341949	-0.024862	-0.001365	-0.001137	-0.030000
chrZ	55343681	56303636	-0.127937	-0.007307	-0.006179	-0.106173
chrZ	56308500	56925181	0.100257	0.005308	0.004555	0.118084
chrZ	56958907	58247230	0.330299	0.019965	0.016698	0.321519
chrZ	58256136	59249330	-0.075000	-0.005367	-0.004384	-0.059113
chrZ	59489415	60235401	-0.113897	-0.005746	-0.004878	-0.110340
chrZ	60250357	61183212	-0.090426	-0.004658	-0.003954	-0.097625
chrZ	61215805	62102447	-0.039526	-0.002041	-0.001697	-0.038760
chrZ	62159257	62892389	0.005911	0.000286	0.000249	0.022430
chrZ	62900290	63605966	-0.084589	-0.005372	-0.004506	-0.099150
chrZ	63606028	64238988	0.104195	0.005748	0.004901	0.103356
chrZ	64239010	64947692	0.157529	0.008798	0.007168	0.154457
chrZ	64955811	65736958	-0.020896	-0.001019	-0.000825	-0.035422
chrZ	65801956	66891241	-0.316312	-0.015149	-0.012436	-0.310734
chrZ	66943547	67872981	-0.053314	-0.001933	-0.001635	-0.051580
chrZ	67872996	68580660	-0.341480	-0.023149	-0.018849	-0.326217
chrZ	68586280	69196710	-0.062260	-0.003674	-0.002969	-0.044429
chrZ	69206483	70231112	-0.171285	-0.009255	-0.007627	-0.165049
chrZ	70239895	71545936	-0.271768	-0.013971	-0.011904	-0.260759
chrZ	71549293	72693148	-0.006130	-0.000401	-0.000326	-0.006130
chrZ	72705851	73466263	0.074705	0.004127	0.003331	0.064968
chrZ	73466281	73842502	-0.181616	-0.013726	-0.011150	-0.170494
chrZ	73842938	74457692	0.071497	0.004814	0.004015	0.086957
chrZ	74464780	75013462	-0.166313	-0.012596	-0.009671	-0.162181
chrZ	75028153	75606400	0.274201	0.019686	0.015713	0.254330
chrZ	75622353	76981476	0.256198	0.012133	0.009924	0.252033
chrZ	77012491	77795379	-0.069544	-0.003042	-0.002517	-0.061047
chrZ	77812295	78683256	-0.170158	-0.007775	-0.006418	-0.144666
chrZ	78923512	80074615	0.147045	0.008385	0.006978	0.129894
chrZ	80074825	80675548	0.051515	0.002605	0.002184	0.049419
chrZ	80676352	81410657	-0.294776	-0.019267	-0.015667	-0.296322
chrZ	81416656	82124829	-0.186779	-0.012202	-0.009496	-0.167035
chrZ	82124847	82655276	-0.184000	-0.010615	-0.008063	-0.177196
chrZ	82674240	83664492	0.098250	0.005653	0.004654	0.095425
