#GC Content (%)	Sample
1.0	1.8479474355047864E-7
2.0	0.0
3.0	1.8479474355047864E-7
4.0	0.0
5.0	1.8479474355047864E-7
6.0	3.079912392507977E-7
7.0	8.623754699022337E-7
8.0	8.623754699022336E-7
9.0	1.2319649570031908E-6
10.0	8.007772220520742E-7
11.0	9.239737177523931E-7
12.0	1.9711439312051055E-6
13.0	2.5871264097067013E-6
14.0	3.4495018796089353E-6
15.0	4.311877349511168E-6
16.0	7.884575724820422E-6
17.0	1.3120426792083985E-5
18.0	2.2544958713158394E-5
19.0	3.8622101402050036E-5
20.0	7.496506763364418E-5
21.0	1.2861714151113314E-4
22.0	2.3715325422311428E-4
23.0	4.362387912748299E-4
24.0	7.484187113794385E-4
25.0	0.0014541498369987165
26.0	0.0019421927547155307
27.0	0.003321993506559104
28.0	0.005100088529001809
29.0	0.007413102735775301
30.0	0.010403389677661298
31.0	0.013925207900246317
32.0	0.017996297698911215
33.0	0.022276513549027398
34.0	0.026499443028642936
35.0	0.03041499725148618
36.0	0.033829449728068374
37.0	0.03647207615908807
38.0	0.03809808510758873
39.0	0.0390334545011934
40.0	0.039243381329866746
41.0	0.03875755594907255
42.0	0.03806605401870665
43.0	0.03703600811815628
44.0	0.03567185332126665
45.0	0.0343810004393187
46.0	0.03303846662742447
47.0	0.03197749840645333
48.0	0.0306528896846835
49.0	0.029541041310988114
50.0	0.02852239108629003
51.0	0.030042574244984112
52.0	0.023609191641265605
53.0	0.02548972454988312
54.0	0.024221847814383288
55.0	0.02249469454291267
56.0	0.020949132906104315
57.0	0.019430859293093582
58.0	0.01780521993408002
59.0	0.01613781696302405
60.0	0.014332803506270825
61.0	0.012788781825658726
62.0	0.011464419496880296
63.0	0.010402096114456444
64.0	0.00948539098995037
65.0	0.008665949498799695
66.0	0.007932930349382798
67.0	0.007218698665560198
68.0	0.00626959286268494
69.0	0.0054244033039329
70.0	0.004761236567578082
71.0	0.004112668615963753
72.0	0.003543500805828278
73.0	0.003156047826850775
74.0	0.002917539411174957
75.0	0.002633879479824972
76.0	0.002339070265614109
77.0	0.0021061056922448054
78.0	0.0019769957647508708
79.0	0.0018209674029464168
80.0	0.0017115689147645333
81.0	0.0015734040448366255
82.0	0.0014502075491363063
83.0	0.0012554338894341017
84.0	0.0010695303774223201
85.0	8.127888803828554E-4
86.0	5.883248652168739E-4
87.0	4.4744967238355903E-4
88.0	3.116255358739572E-4
89.0	2.0968043568194312E-4
90.0	1.1765265339380474E-4
91.0	5.9442309175403965E-5
92.0	2.9567158968076583E-5
93.0	1.3613212774885259E-5
94.0	6.9606020070680295E-6
95.0	2.1559386747555846E-6
96.0	1.3551614527035105E-6
97.0	4.311877349511168E-7
98.0	2.463929914006382E-7
99.0	8.623754699022337E-7
100.0	9.54772841677473E-6
