#Coverage	Number of genomic locations
341.0	1133.0
342.0	1071.0
343.0	1099.0
344.0	1061.0
345.0	1142.0
346.0	1082.0
347.0	1096.0
348.0	1091.0
349.0	1039.0
350.0	1153.0
351.0	1137.0
352.0	1122.0
353.0	1072.0
354.0	1079.0
355.0	1004.0
356.0	1127.0
357.0	1110.0
358.0	1102.0
359.0	1117.0
360.0	1082.0
361.0	1118.0
362.0	1066.0
363.0	1012.0
364.0	1035.0
365.0	1015.0
366.0	985.0
367.0	916.0
368.0	968.0
369.0	1009.0
370.0	937.0
371.0	978.0
372.0	963.0
373.0	932.0
374.0	881.0
375.0	922.0
376.0	934.0
377.0	905.0
378.0	918.0
379.0	931.0
380.0	885.0
381.0	945.0
382.0	875.0
383.0	881.0
384.0	923.0
385.0	842.0
386.0	884.0
387.0	924.0
388.0	862.0
389.0	887.0
390.0	916.0
391.0	860.0
392.0	864.0
393.0	861.0
394.0	823.0
395.0	806.0
396.0	795.0
397.0	799.0
398.0	816.0
399.0	734.0
400.0	820.0
401.0	788.0
402.0	780.0
403.0	774.0
404.0	801.0
405.0	749.0
406.0	772.0
407.0	737.0
408.0	759.0
409.0	753.0
410.0	780.0
411.0	782.0
412.0	726.0
413.0	814.0
414.0	824.0
415.0	791.0
416.0	809.0
417.0	782.0
418.0	791.0
419.0	790.0
420.0	775.0
421.0	728.0
422.0	717.0
423.0	725.0
424.0	724.0
425.0	693.0
426.0	735.0
427.0	747.0
428.0	719.0
429.0	730.0
430.0	745.0
431.0	687.0
432.0	752.0
433.0	706.0
434.0	688.0
435.0	752.0
436.0	737.0
437.0	699.0
438.0	722.0
439.0	716.0
440.0	698.0
441.0	727.0
442.0	661.0
443.0	686.0
444.0	696.0
445.0	592.0
446.0	644.0
447.0	683.0
448.0	643.0
449.0	649.0
450.0	627.0
451.0	643.0
452.0	589.0
453.0	623.0
454.0	588.0
455.0	585.0
456.0	656.0
457.0	559.0
458.0	624.0
459.0	569.0
460.0	624.0
461.0	620.0
462.0	605.0
463.0	591.0
464.0	623.0
465.0	571.0
466.0	592.0
467.0	571.0
468.0	586.0
469.0	558.0
470.0	573.0
471.0	543.0
472.0	568.0
473.0	539.0
474.0	535.0
475.0	507.0
476.0	507.0
477.0	559.0
478.0	516.0
479.0	503.0
480.0	525.0
481.0	574.0
482.0	513.0
483.0	509.0
484.0	520.0
485.0	550.0
486.0	530.0
487.0	524.0
488.0	529.0
489.0	552.0
490.0	575.0
491.0	519.0
492.0	522.0
493.0	535.0
494.0	498.0
495.0	534.0
496.0	579.0
497.0	558.0
498.0	508.0
499.0	553.0
500.0	546.0
501.0	532.0
502.0	509.0
503.0	544.0
504.0	518.0
505.0	510.0
506.0	467.0
507.0	520.0
508.0	500.0
509.0	495.0
510.0	516.0
511.0	497.0
512.0	480.0
513.0	462.0
514.0	487.0
515.0	501.0
516.0	481.0
517.0	475.0
518.0	502.0
519.0	476.0
520.0	469.0
521.0	480.0
522.0	449.0
523.0	419.0
524.0	442.0
525.0	447.0
526.0	454.0
527.0	488.0
528.0	457.0
529.0	449.0
530.0	480.0
531.0	443.0
532.0	447.0
533.0	474.0
534.0	433.0
535.0	486.0
536.0	406.0
537.0	433.0
538.0	431.0
539.0	465.0
540.0	463.0
541.0	455.0
542.0	447.0
543.0	431.0
544.0	502.0
545.0	454.0
546.0	482.0
547.0	434.0
548.0	432.0
549.0	427.0
550.0	388.0
551.0	443.0
552.0	445.0
553.0	408.0
554.0	419.0
555.0	389.0
556.0	395.0
557.0	354.0
558.0	406.0
559.0	382.0
560.0	383.0
561.0	389.0
562.0	400.0
563.0	397.0
564.0	399.0
565.0	376.0
566.0	349.0
567.0	344.0
568.0	367.0
569.0	343.0
570.0	381.0
571.0	382.0
572.0	364.0
573.0	409.0
574.0	391.0
575.0	371.0
576.0	383.0
577.0	400.0
578.0	414.0
579.0	381.0
580.0	402.0
581.0	370.0
582.0	386.0
583.0	355.0
584.0	393.0
585.0	360.0
586.0	374.0
587.0	386.0
588.0	351.0
589.0	345.0
590.0	358.0
591.0	341.0
592.0	330.0
593.0	364.0
594.0	373.0
595.0	387.0
596.0	378.0
597.0	356.0
598.0	360.0
599.0	312.0
600.0	381.0
601.0	367.0
602.0	362.0
603.0	329.0
604.0	374.0
605.0	387.0
606.0	367.0
607.0	355.0
608.0	334.0
609.0	359.0
610.0	367.0
611.0	355.0
612.0	368.0
613.0	341.0
614.0	328.0
615.0	295.0
616.0	353.0
617.0	342.0
618.0	370.0
619.0	372.0
620.0	321.0
621.0	364.0
622.0	342.0
623.0	341.0
624.0	325.0
625.0	361.0
626.0	335.0
627.0	345.0
628.0	296.0
629.0	367.0
630.0	339.0
631.0	350.0
632.0	375.0
633.0	327.0
634.0	345.0
635.0	353.0
636.0	331.0
637.0	310.0
638.0	311.0
639.0	327.0
640.0	363.0
641.0	358.0
642.0	314.0
643.0	306.0
644.0	294.0
645.0	328.0
646.0	318.0
647.0	302.0
648.0	340.0
649.0	317.0
650.0	337.0
651.0	362.0
652.0	329.0
653.0	353.0
654.0	317.0
655.0	333.0
656.0	331.0
657.0	324.0
658.0	340.0
659.0	321.0
660.0	353.0
661.0	339.0
662.0	320.0
663.0	297.0
664.0	354.0
665.0	281.0
666.0	287.0
667.0	289.0
668.0	297.0
669.0	290.0
670.0	249.0
671.0	279.0
672.0	288.0
673.0	254.0
674.0	253.0
675.0	266.0
676.0	281.0
677.0	264.0
678.0	277.0
679.0	258.0
680.0	287.0
681.0	286.0
682.0	277.0
683.0	249.0
684.0	274.0
685.0	276.0
686.0	296.0
687.0	239.0
688.0	260.0
689.0	266.0
690.0	243.0
691.0	265.0
692.0	256.0
693.0	252.0
694.0	254.0
695.0	251.0
696.0	242.0
697.0	268.0
698.0	266.0
699.0	226.0
700.0	223.0
701.0	233.0
702.0	237.0
703.0	277.0
704.0	233.0
705.0	248.0
706.0	226.0
707.0	232.0
708.0	252.0
709.0	220.0
710.0	215.0
711.0	248.0
712.0	244.0
713.0	242.0
714.0	235.0
715.0	246.0
716.0	244.0
717.0	240.0
718.0	268.0
719.0	245.0
720.0	219.0
721.0	242.0
722.0	241.0
723.0	231.0
724.0	236.0
725.0	212.0
726.0	240.0
727.0	241.0
728.0	214.0
729.0	258.0
730.0	213.0
731.0	237.0
732.0	209.0
733.0	226.0
734.0	240.0
735.0	240.0
736.0	209.0
737.0	214.0
738.0	219.0
739.0	247.0
740.0	250.0
741.0	277.0
742.0	269.0
743.0	260.0
744.0	234.0
745.0	268.0
746.0	247.0
747.0	263.0
748.0	227.0
749.0	250.0
750.0	252.0
751.0	225.0
752.0	255.0
753.0	244.0
754.0	232.0
755.0	252.0
756.0	250.0
757.0	237.0
758.0	227.0
759.0	225.0
760.0	231.0
761.0	249.0
762.0	244.0
763.0	279.0
764.0	254.0
765.0	236.0
766.0	232.0
767.0	242.0
768.0	209.0
769.0	209.0
770.0	217.0
771.0	228.0
772.0	213.0
773.0	228.0
774.0	229.0
775.0	193.0
776.0	219.0
777.0	177.0
778.0	212.0
779.0	191.0
780.0	209.0
781.0	196.0
782.0	210.0
783.0	210.0
784.0	217.0
785.0	246.0
786.0	217.0
787.0	220.0
788.0	207.0
789.0	209.0
790.0	239.0
791.0	225.0
792.0	232.0
793.0	234.0
794.0	240.0
795.0	223.0
796.0	218.0
797.0	202.0
798.0	209.0
799.0	228.0
800.0	220.0
801.0	236.0
802.0	205.0
803.0	210.0
804.0	190.0
805.0	217.0
806.0	230.0
807.0	190.0
808.0	188.0
809.0	182.0
810.0	211.0
811.0	203.0
812.0	203.0
813.0	209.0
814.0	196.0
815.0	178.0
816.0	196.0
817.0	229.0
818.0	223.0
819.0	210.0
820.0	203.0
821.0	183.0
822.0	195.0
823.0	211.0
824.0	188.0
825.0	181.0
826.0	176.0
827.0	186.0
828.0	182.0
829.0	171.0
830.0	169.0
831.0	180.0
832.0	198.0
833.0	160.0
834.0	197.0
835.0	178.0
836.0	177.0
837.0	162.0
838.0	170.0
839.0	175.0
840.0	177.0
841.0	157.0
842.0	180.0
843.0	159.0
844.0	167.0
845.0	158.0
846.0	151.0
847.0	171.0
848.0	163.0
849.0	155.0
850.0	157.0
851.0	155.0
852.0	156.0
853.0	152.0
854.0	166.0
855.0	154.0
856.0	159.0
857.0	159.0
858.0	136.0
859.0	138.0
860.0	127.0
861.0	136.0
862.0	117.0
863.0	142.0
864.0	154.0
865.0	146.0
866.0	162.0
867.0	144.0
868.0	141.0
869.0	162.0
870.0	137.0
