#Duplication rate	Coverage
1.0	8.1501896E7
2.0	8833982.0
3.0	854783.0
4.0	207221.0
5.0	63255.0
6.0	33476.0
7.0	20906.0
8.0	14548.0
9.0	10554.0
10.0	8091.0
11.0	6290.0
12.0	5126.0
13.0	4140.0
14.0	3557.0
15.0	2955.0
16.0	2561.0
17.0	2265.0
18.0	1945.0
19.0	1800.0
20.0	1578.0
21.0	1376.0
22.0	1351.0
23.0	1248.0
24.0	1047.0
25.0	1065.0
26.0	901.0
27.0	852.0
28.0	833.0
29.0	740.0
30.0	665.0
31.0	662.0
32.0	620.0
33.0	559.0
34.0	545.0
35.0	468.0
36.0	480.0
37.0	460.0
38.0	445.0
39.0	404.0
40.0	395.0
41.0	314.0
42.0	330.0
43.0	333.0
44.0	324.0
45.0	315.0
46.0	272.0
47.0	284.0
48.0	231.0
49.0	238.0
50.0	9599.0
