#Coverage (X)	Coverage
1.0	97.65160625340722
2.0	96.71459499463886
3.0	95.05357476194874
4.0	92.4914207313517
5.0	88.90727883096099
6.0	84.2930529302127
7.0	78.73671281969834
8.0	72.43571245984367
9.0	65.64703745251487
10.0	58.65223496102819
11.0	51.71858666427162
12.0	45.07562434746222
13.0	38.89197821059801
14.0	33.277369335574136
15.0	28.285653797149948
16.0	23.921380443393616
17.0	20.162344377878156
18.0	16.965769281004697
19.0	14.269925441744036
20.0	12.00857217962863
21.0	10.119396247980632
22.0	8.546780557002734
23.0	7.2381782334069555
24.0	6.148930116692981
25.0	5.2411458039482
26.0	4.481203063093659
27.0	3.845379207830277
28.0	3.310671672386789
29.0	2.859350954574907
30.0	2.4780841179451727
31.0	2.1557687995963306
32.0	1.8816423499243342
33.0	1.6471645028993152
34.0	1.4476985388568835
35.0	1.2758408919108604
36.0	1.1284694757164857
37.0	1.0014948485605544
38.0	0.8923811044260646
39.0	0.798028850021268
40.0	0.7167740703129795
41.0	0.6467682199159412
42.0	0.5865345441403775
43.0	0.5344527931267322
44.0	0.48953906093407795
45.0	0.4506270440751763
46.0	0.41681473634926647
47.0	0.3873544613784503
48.0	0.3617926993515681
49.0	0.33949464197014834
50.0	0.3199281115475969
51.0	0.3028105539803505
