#Mapping quality	mapping quality
0.0	983586.0
1.0	3427466.0
2.0	681484.0
3.0	773315.0
4.0	832832.0
5.0	801944.0
6.0	848542.0
7.0	646800.0
8.0	860237.0
9.0	667141.0
10.0	687206.0
11.0	755153.0
12.0	777484.0
13.0	842090.0
14.0	883703.0
15.0	968238.0
16.0	1032857.0
17.0	1055014.0
18.0	1208356.0
19.0	1243311.0
20.0	1346885.0
21.0	1613367.0
22.0	1624578.0
23.0	2691760.0
24.0	2661623.0
25.0	2444323.0
26.0	2804450.0
27.0	3164199.0
28.0	3685527.0
29.0	4105820.0
30.0	4773836.0
31.0	5328692.0
32.0	6739294.0
33.0	7796596.0
34.0	9704210.0
35.0	1.2196694E7
36.0	1.652431E7
37.0	2.1774569E7
38.0	3.2873953E7
39.0	5.2045616E7
40.0	1.02965293E8
41.0	2.71990635E8
42.0	5.56275817E8
