#Duplication rate	Coverage
1.0	6.9362096E7
2.0	1.5927621E7
3.0	3049188.0
4.0	572010.0
5.0	121819.0
6.0	36602.0
7.0	16869.0
8.0	10247.0
9.0	7081.0
10.0	5250.0
11.0	3843.0
12.0	3208.0
13.0	2659.0
14.0	2229.0
15.0	1840.0
16.0	1558.0
17.0	1364.0
18.0	1149.0
19.0	1019.0
20.0	818.0
21.0	758.0
22.0	658.0
23.0	623.0
24.0	600.0
25.0	455.0
26.0	434.0
27.0	395.0
28.0	346.0
29.0	330.0
30.0	273.0
31.0	272.0
32.0	264.0
33.0	209.0
34.0	178.0
35.0	186.0
36.0	154.0
37.0	144.0
38.0	154.0
39.0	107.0
40.0	97.0
41.0	102.0
42.0	103.0
43.0	77.0
44.0	94.0
45.0	100.0
46.0	81.0
47.0	64.0
48.0	62.0
49.0	66.0
50.0	4442.0
