P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
chilensis	antarcticus	maccormicki	0.131472	4.9224	8.54896e-07	0.155275	696.566	613.191	470.691
antarcticus	chilensis	pomarinus	0.0232687	1.11061	0.266736	0.0197363	2430.74	329.822	314.822
chilensis	antarcticus	skua	0.192414	6.39525	1.60284e-10	0.125445	784.667	658.875	446.236
antarcticus	maccormicki	pomarinus	0.0038475	0.143057	0.886245	0.00333285	2700.79	375.963	373.081
maccormicki	antarcticus	skua	0.236674	10.4731	0	0.157141	835.154	801.091	494.466
antarcticus	skua	pomarinus	0.0859039	5.46885	4.52971e-08	0.0853692	2657.8	465.958	392.236
maccormicki	chilensis	pomarinus	0.0116636	0.63305	0.526701	0.0114427	2240.6	366.223	357.778
maccormicki	chilensis	skua	0.0449733	1.53963	0.12365	0.0296471	725.368	607.993	555.66
chilensis	skua	pomarinus	0.0581739	4.32446	1.52903e-05	0.0704719	2139.55	453.609	403.734
maccormicki	skua	pomarinus	0.0739606	4.0777	4.54829e-05	0.084146	2413.23	528.141	455.398
