#Mapping quality	mapping quality
0.0	993314.0
1.0	3349208.0
2.0	637879.0
3.0	763238.0
4.0	818017.0
5.0	790905.0
6.0	870381.0
7.0	673347.0
8.0	1075293.0
9.0	711373.0
10.0	722407.0
11.0	817216.0
12.0	821924.0
13.0	904746.0
14.0	937463.0
15.0	1034495.0
16.0	1093427.0
17.0	1088522.0
18.0	1253537.0
19.0	1297545.0
20.0	1377706.0
21.0	1624102.0
22.0	1632708.0
23.0	3529378.0
24.0	3699647.0
25.0	2553429.0
26.0	2725943.0
27.0	3195798.0
28.0	3796394.0
29.0	4432480.0
30.0	5449498.0
31.0	5465569.0
32.0	8404531.0
33.0	9594399.0
34.0	1.11395E7
35.0	1.4709023E7
36.0	2.0127217E7
37.0	2.7188708E7
38.0	4.0196835E7
39.0	5.8471462E7
40.0	9.0033541E7
41.0	2.28206533E8
42.0	5.69191154E8
