#Duplication rate	Coverage
1.0	7.5975093E7
2.0	8206165.0
3.0	820857.0
4.0	215039.0
5.0	72812.0
6.0	41113.0
7.0	26280.0
8.0	18846.0
9.0	13966.0
10.0	10689.0
11.0	8481.0
12.0	6761.0
13.0	5668.0
14.0	4810.0
15.0	4067.0
16.0	3353.0
17.0	3097.0
18.0	2631.0
19.0	2426.0
20.0	2064.0
21.0	1846.0
22.0	1730.0
23.0	1626.0
24.0	1469.0
25.0	1278.0
26.0	1227.0
27.0	1096.0
28.0	1060.0
29.0	942.0
30.0	891.0
31.0	800.0
32.0	779.0
33.0	697.0
34.0	649.0
35.0	633.0
36.0	575.0
37.0	535.0
38.0	473.0
39.0	477.0
40.0	458.0
41.0	456.0
42.0	426.0
43.0	354.0
44.0	356.0
45.0	327.0
46.0	323.0
47.0	311.0
48.0	311.0
49.0	294.0
50.0	8842.0
