#Mapping quality	mapping quality
0.0	2.5569358E7
1.0	2.3310317E7
2.0	2.2645325E7
3.0	2.3435938E7
4.0	2.0583747E7
5.0	2.0301918E7
6.0	2.0172591E7
7.0	1.915903E7
8.0	2.7283332E7
9.0	2.1324188E7
10.0	2.2137595E7
11.0	2.3855654E7
12.0	2.1573852E7
13.0	2.7695693E7
14.0	2.480502E7
15.0	2.8045715E7
16.0	2.6939424E7
17.0	2.7150016E7
18.0	3.1693259E7
19.0	3.0731322E7
20.0	3.2694377E7
21.0	3.3254467E7
22.0	2.6488844E7
23.0	7.6408917E7
24.0	3.2217917E7
25.0	3.2881086E7
26.0	3.2321099E7
27.0	3.0622164E7
28.0	2.8029097E7
29.0	2.8236231E7
30.0	2.6310294E7
31.0	2.381918E7
32.0	2.6373385E7
33.0	2.2909855E7
34.0	2.3810866E7
35.0	2.1460151E7
36.0	2.3002454E7
37.0	2.1165815E7
38.0	2.1653441E7
39.0	1.7403019E7
40.0	2.6792252E7
41.0	3.0303509E7
42.0	1.3441209E7
