#GC Content (%)	Sample
1.0	1.460644468473669E-7
2.0	2.1909667027105035E-7
3.0	1.460644468473669E-7
4.0	7.303222342368345E-8
5.0	1.460644468473669E-7
6.0	3.651611171184172E-7
7.0	1.460644468473669E-7
8.0	2.1909667027105035E-7
9.0	6.57290010813151E-7
10.0	7.303222342368344E-7
11.0	7.303222342368344E-7
12.0	8.033544576605179E-7
13.0	2.0449022558631362E-6
14.0	1.0224511279315681E-6
15.0	3.359482277489438E-6
16.0	3.651611171184172E-6
17.0	8.47173791714728E-6
18.0	1.1393026854094619E-5
19.0	2.2420892591070818E-5
20.0	4.7982170789360026E-5
21.0	8.698137809760699E-5
22.0	1.773222384727034E-4
23.0	3.287180376299992E-4
24.0	6.166110623661594E-4
25.0	0.0012549126950891526
26.0	0.0017751942547594736
27.0	0.0031704018510455216
28.0	0.004982258281963685
29.0	0.007499898120048324
30.0	0.01068921531696058
31.0	0.014561018641767157
32.0	0.018889054266301487
33.0	0.02358181281461369
34.0	0.0281355180095272
35.0	0.03245216060720743
36.0	0.036074485856798705
37.0	0.038853508022516706
38.0	0.04084480462638686
39.0	0.04176902741381358
40.0	0.042037201738225345
41.0	0.04150092612162523
42.0	0.040691802118314246
43.0	0.039555858915182276
44.0	0.0380180924187732
45.0	0.0363871368052755
46.0	0.03466832342699911
47.0	0.03289897175011353
48.0	0.031204697198907495
49.0	0.02957834261548549
50.0	0.02815319180759573
51.0	0.029233265359808584
52.0	0.022143078013167124
53.0	0.02350293801331611
54.0	0.02207654565762815
55.0	0.019845922457598586
56.0	0.01813346288276006
57.0	0.01672364884178927
58.0	0.015224005166007354
59.0	0.013749192446189494
60.0	0.012241807354724667
61.0	0.010979372340622873
62.0	0.009934938513440779
63.0	0.009082871562756662
64.0	0.008310920961168328
65.0	0.007724472207076151
66.0	0.007086170574353157
67.0	0.006397695804138093
68.0	0.005627278879241656
69.0	0.0050215496181656265
70.0	0.004454308338833877
71.0	0.003846095982161441
72.0	0.003376206656653462
73.0	0.0029610184664898213
74.0	0.0026435473912670695
75.0	0.0023519297231363017
76.0	0.0021128952558705856
77.0	0.0019363033396321192
78.0	0.0018277774556245256
79.0	0.0017397005941755632
80.0	0.0016149615565679122
81.0	0.001520092698340547
82.0	0.001397398562988759
83.0	0.0011956105296691217
84.0	9.759296016106819E-4
85.0	7.556644157648526E-4
86.0	5.694322460344599E-4
87.0	4.243902503150245E-4
88.0	2.8803908918300747E-4
89.0	1.9879371215926635E-4
90.0	1.1108201182742252E-4
91.0	5.776848872813361E-5
92.0	2.7094954890186553E-5
93.0	1.1831220194636717E-5
94.0	5.988642320742042E-6
95.0	1.6797411387447191E-6
96.0	1.0224511279315681E-6
97.0	8.03354457660518E-7
98.0	3.651611171184172E-7
99.0	6.57290010813151E-7
100.0	1.0297543502739365E-5
