#Duplication rate	Coverage
1.0	6.6044446E7
2.0	1.5061689E7
3.0	2888321.0
4.0	552955.0
5.0	124598.0
6.0	41984.0
7.0	20906.0
8.0	13240.0
9.0	9415.0
10.0	6813.0
11.0	5330.0
12.0	4059.0
13.0	3320.0
14.0	2615.0
15.0	2103.0
16.0	1852.0
17.0	1496.0
18.0	1328.0
19.0	1097.0
20.0	935.0
21.0	886.0
22.0	746.0
23.0	620.0
24.0	547.0
25.0	521.0
26.0	466.0
27.0	408.0
28.0	334.0
29.0	295.0
30.0	282.0
31.0	294.0
32.0	247.0
33.0	216.0
34.0	191.0
35.0	182.0
36.0	199.0
37.0	160.0
38.0	131.0
39.0	127.0
40.0	122.0
41.0	119.0
42.0	115.0
43.0	115.0
44.0	101.0
45.0	92.0
46.0	92.0
47.0	84.0
48.0	74.0
49.0	75.0
50.0	3925.0
