#Coverage	Number of genomic locations
0.0	2.9349464E7
1.0	1.0497157E7
2.0	1.2084848E7
3.0	1.5201421E7
4.0	1.9690036E7
5.0	2.5493269E7
6.0	3.2620974E7
7.0	4.1010729E7
8.0	5.040249E7
9.0	6.0182166E7
10.0	6.9341701E7
11.0	7.6880837E7
12.0	8.2020733E7
13.0	8.4275254E7
14.0	8.3311291E7
15.0	7.9442179E7
16.0	7.3165654E7
17.0	6.5250911E7
18.0	5.6387729E7
19.0	4.7408351E7
20.0	3.8778879E7
21.0	3.0939848E7
22.0	2.4125331E7
23.0	1.8424346E7
24.0	1.3759927E7
25.0	1.0129245E7
26.0	7328811.0
27.0	5230653.0
28.0	3698731.0
29.0	2583822.0
30.0	1801043.0
31.0	1250761.0
32.0	877659.0
33.0	619069.0
34.0	449093.0
35.0	330045.0
36.0	251260.0
37.0	198520.0
38.0	163199.0
39.0	137820.0
40.0	119197.0
41.0	107470.0
42.0	95978.0
43.0	88827.0
44.0	82366.0
45.0	75603.0
46.0	72042.0
47.0	68258.0
48.0	62951.0
49.0	59751.0
50.0	57115.0
51.0	55444.0
52.0	51779.0
53.0	49857.0
54.0	46731.0
55.0	44547.0
56.0	42783.0
57.0	40947.0
58.0	39219.0
59.0	37820.0
60.0	36296.0
61.0	35387.0
62.0	34378.0
63.0	32907.0
64.0	31868.0
65.0	30692.0
66.0	29936.0
67.0	29010.0
68.0	28044.0
69.0	27192.0
70.0	25948.0
71.0	24792.0
72.0	24484.0
73.0	24064.0
74.0	23037.0
75.0	22577.0
76.0	21894.0
77.0	21370.0
78.0	20650.0
79.0	20174.0
80.0	19245.0
81.0	19024.0
82.0	19057.0
83.0	18184.0
84.0	17818.0
85.0	17849.0
86.0	17149.0
87.0	17015.0
88.0	16314.0
89.0	15736.0
90.0	15371.0
91.0	14910.0
92.0	14974.0
93.0	14334.0
94.0	14282.0
95.0	13540.0
96.0	13393.0
97.0	12939.0
98.0	12705.0
99.0	12603.0
100.0	12289.0
101.0	11953.0
102.0	11565.0
103.0	11355.0
104.0	11012.0
105.0	10934.0
106.0	10629.0
107.0	10643.0
108.0	10504.0
109.0	10198.0
110.0	10048.0
111.0	9756.0
112.0	9834.0
113.0	9592.0
114.0	9517.0
115.0	9289.0
116.0	9199.0
117.0	8739.0
118.0	8689.0
119.0	8477.0
120.0	8358.0
121.0	8374.0
