#Position (bp)	Coverage
1473116.5	13.142145968138287
4419348.5	13.381449254505416
7365580.5	13.928625104879725
1.03118125E7	13.367332239959378
1.32580445E7	14.207867201225158
1.62042765E7	14.537919281305749
1.91505085E7	13.11310514582694
2.20967405E7	13.776843778765555
2.50429725E7	13.625049894237792
2.79892045E7	13.883317063965091
3.09354365E7	13.711191107828576
3.38816685E7	14.11084055838101
3.68279005E7	14.009293904892758
3.97741325E7	14.157634225682159
4.27203645E7	14.134399802866849
4.56665965E7	13.403839548277258
4.86128285E7	14.209949861382267
5.15590605E7	14.1857715210479
5.45052925E7	15.374655152751039
5.74515245E7	14.575181791522189
6.03977565E7	14.597448537657591
6.33439885E7	14.310385604392323
6.62902205E7	14.52675043920506
6.92364525E7	13.824941823997568
7.21826845E7	13.762024850724586
7.51289165E7	23.39004565831883
7.80751485E7	13.77721340342512
8.10213805E7	14.24591410316635
8.39676125E7	13.928255140803575
8.69138445E7	14.817447505831177
8.98600765E7	14.16472938994621
9.28063085E7	14.878575074875299
9.57525405E7	13.936518916365038
9.86987725E7	13.49924683460094
1.016450045E8	14.116197570320328
1.045912365E8	13.392827516638201
1.075374685E8	13.697735955620603
1.104837005E8	12.732697900233248
1.134299325E8	14.310497951281501
1.163761645E8	14.705561544372609
1.193223965E8	14.563121302056322
1.222686285E8	14.443936186966946
1.252148605E8	13.441241219292982
1.281610925E8	13.836311600715762
1.311073245E8	13.9535970011866
1.340535565E8	13.562058249316415
1.369997885E8	13.755804362996532
1.399460205E8	13.371730400049962
1.428922525E8	13.99496407614879
1.458384845E8	13.989591790463209
1.487847165E8	14.390756057228351
1.517309485E8	13.782321962425227
1.546771805E8	13.204115629726376
1.576234125E8	13.783114839564568
1.605696445E8	13.256456042837089
1.635158765E8	11.923065800656568
1.664621085E8	12.466090925629754
1.694083405E8	13.500896738613932
1.723545725E8	13.460441336595354
1.753008045E8	12.514377007649092
1.782470365E8	12.861242767032603
1.811932685E8	13.649959337893282
1.841395005E8	14.545551063188507
1.870857325E8	13.801571295132224
1.900319645E8	13.991404614436338
1.929781965E8	14.15777678064728
1.959244285E8	14.255670293446002
1.988706605E8	13.747258192837496
2.018168925E8	13.625730085071373
2.047631245E8	13.03442838174319
2.077093565E8	12.98341678455736
2.106555885E8	12.854129953106204
2.136018205E8	12.672052981571037
2.154737165E8	12.38547319323938
2.169468325E8	12.211138321716856
2.194942845E8	13.087044740536387
2.224405165E8	14.110113188642307
2.253867485E8	14.01227635841305
2.283329805E8	13.901007456303509
2.312792125E8	14.554283573051952
2.342254445E8	14.282220476866723
2.371716765E8	14.427842749654474
2.401179085E8	14.11813631784598
2.430641405E8	14.191058613170993
2.460103725E8	13.645898897303404
2.489566045E8	13.834497079659714
2.519028365E8	13.467218467520548
2.548490685E8	14.203930308271717
2.577953005E8	13.830343978342507
2.607415325E8	14.417272638407294
2.636877645E8	14.423328509092292
2.666339965E8	13.92407318907676
2.695802285E8	13.90944161898995
2.725264605E8	13.892014274503842
2.754726925E8	13.482495607949408
2.784189245E8	16.942415261255732
2.813651565E8	15.474853304152559
2.843113885E8	14.97173644166515
2.872576205E8	14.429749592021267
2.902038525E8	14.261221112254567
2.931500845E8	13.519250011540164
2.960963165E8	13.275890696998744
2.990425485E8	13.114714319849897
3.019887805E8	13.608874657528666
3.049350125E8	13.722382690840368
3.078812445E8	13.455459719397522
3.108274765E8	13.569194822403666
3.137737085E8	13.766061532153612
3.167199405E8	14.216993094909023
3.196661725E8	13.186877000860761
3.226124045E8	13.57435089972548
3.255586365E8	13.601418354019643
3.285048685E8	14.144001898017535
3.314511005E8	13.905392718563915
3.343973325E8	14.110996350592893
3.373435645E8	13.702290586756236
3.402897965E8	13.855648502901333
3.432360285E8	13.90161738790428
3.461822605E8	13.741805465421596
3.491284925E8	13.554556803401768
3.520747245E8	14.028788635789713
3.550209565E8	14.17368252058901
3.579671885E8	14.900762736946717
3.609134205E8	13.785577306878752
3.638596525E8	13.263921510593871
3.668058845E8	14.20587923829488
3.697521165E8	14.045277832838691
3.726983485E8	13.213692268633292
3.756445805E8	13.137132106365012
3.785908125E8	12.380620738624792
3.804938555E8	13.178110469916986
3.819669715E8	18.458052184215898
3.844832765E8	13.722776753493955
3.874295085E8	14.580387763081793
3.903757405E8	13.358513857700276
3.933219725E8	15.434567949842375
3.962682045E8	14.68171922645603
3.992144365E8	14.409603860116922
4.021606685E8	15.947823185682594
4.051069005E8	14.122747292134497
4.080531325E8	14.162546941313515
