#Mapping quality	mapping quality
0.0	1.0497263E7
1.0	1.1016306E7
2.0	1.0592229E7
3.0	1.0534279E7
4.0	9282309.0
5.0	9160306.0
6.0	9767726.0
7.0	9605122.0
8.0	1.3854753E7
9.0	1.2205283E7
10.0	1.3570746E7
11.0	1.5270123E7
12.0	1.5592204E7
13.0	1.9339385E7
14.0	1.973718E7
15.0	2.2522744E7
16.0	2.3858782E7
17.0	2.5829331E7
18.0	2.9616852E7
19.0	3.1484598E7
20.0	3.4583874E7
21.0	3.7518608E7
22.0	3.6964629E7
23.0	6.7472082E7
24.0	3.7763971E7
25.0	4.4827401E7
26.0	4.3854719E7
27.0	4.2890355E7
28.0	4.1523419E7
29.0	4.0805671E7
30.0	3.9591942E7
31.0	3.7228877E7
32.0	3.8267826E7
33.0	3.4959641E7
34.0	3.4557328E7
35.0	3.1838243E7
36.0	3.1570365E7
37.0	2.8499104E7
38.0	2.8181131E7
39.0	2.4546171E7
40.0	2.7739222E7
41.0	3.2258569E7
42.0	8362435.0
