#Coverage (X)	Coverage
1.0	97.5413233051697
2.0	96.3820839264499
3.0	94.65913998272109
4.0	92.44471936670556
5.0	89.7842079284731
6.0	86.74444754377139
7.0	83.39977758299878
8.0	79.79452440364894
9.0	75.98060024133584
10.0	71.9990784982486
11.0	67.8840815067545
12.0	63.66678167295492
13.0	59.37967613124833
14.0	55.052928129375275
15.0	50.71998108498201
16.0	46.41407187480758
17.0	42.17298033711538
18.0	38.03869280026064
19.0	34.04691132316127
20.0	30.236471568230925
21.0	26.63857383866994
22.0	23.281490692592328
23.0	20.183856965564075
24.0	17.358211849052907
25.0	14.815078350610662
26.0	12.552090847430108
27.0	10.561522354963628
28.0	8.830090782850448
29.0	7.341641236719141
30.0	6.0746955097122
31.0	5.006911608650114
32.0	4.114535025772241
33.0	3.3773360986973984
34.0	2.7726357656279674
35.0	2.2799075629368986
36.0	1.8815743560775218
37.0	1.560661314842264
38.0	1.3033242265912577
39.0	1.098173567459284
40.0	0.9348340906757215
41.0	0.8045911520139413
42.0	0.7007600264321354
43.0	0.6184473750800805
44.0	0.5524215961182364
45.0	0.49912252490420883
46.0	0.4559152079227289
47.0	0.42061693178625603
48.0	0.3910248494211146
49.0	0.36646294672205215
50.0	0.34581073286896924
51.0	0.3282377786215278
