P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
maccormicki	chilensis	antarcticus	0.0458434	4.4762	3.7992e-06	0.0470933	1855.52	2852.7	2602.61
antarcticus	chilensis	pomarinus	0.000755113	0.0542317	0.478375	0.000726137	10151.5	1320.7	1318.71
skua	chilensis	antarcticus	0.061016	4.13672	1.76155e-05	0.0678988	1775.26	3164.83	2800.83
maccormicki	antarcticus	pomarinus	0.0154146	1.1664	0.121726	0.014327	11541.3	1538.42	1491.72
skua	maccormicki	antarcticus	0.0233717	1.8509	0.0320923	0.025198	2043.65	3444.72	3287.38
antarcticus	skua	pomarinus	0.0941472	8.10026	2.74195e-16	0.110133	11303	1906.44	1578.35
maccormicki	chilensis	pomarinus	0.0155988	1.50316	0.0663988	0.0170393	9357.82	1525.73	1478.86
maccormicki	chilensis	skua	0.0108905	0.692176	0.244413	0.00761794	2902.3	2489.14	2435.51
chilensis	skua	pomarinus	0.0833469	6.24454	2.12524e-10	0.107289	8918.96	1878.08	1589.1
maccormicki	skua	pomarinus	0.0943212	10.2475	0	0.117502	10313.2	2162.26	1789.52
